group,start_time,end_time,total_production_seconds,total_production_minutes,stations_visited
W2 G1,2025-08-01 13:00:03.006523,2025-08-01 14:20:22.412184,4819.405661,80.32342768333334,4
W2 G2,2025-08-01 13:26:35.205905,2025-08-01 15:00:20.004449,5624.798544,93.7466424,3
W2 G3,2025-08-01 13:00:12.307041,2025-08-01 15:34:57.302941,9284.9959,154.74993166666667,5
W2 G4,2025-08-01 12:59:01.157812,2025-08-01 15:34:46.403278,9345.245466,155.7540911,4
W2 G5,2025-08-01 13:41:47.205065,2025-08-01 15:06:47.803981,5100.598916,85.00998193333334,4
W2 G6,2025-08-01 13:21:19.505404,2025-08-01 15:34:01.509183,7962.003779,132.70006298333334,4
