group,start_time,end_time,total_production_seconds,total_production_minutes,stations_visited
W1 G1,2025-07-11 12:52:01.450105,2025-07-11 14:52:54.449464,7252.999359,120.88332265000001,5
W1 G2,2025-07-11 13:06:34.957409,2025-07-11 15:29:57.750759,8602.79335,143.37988916666666,5
W1 G3,2025-07-11 13:06:40.751175,2025-07-11 15:47:23.751670,9643.000495,160.71667491666668,5
W1 G4,2025-07-11 12:52:52.049954,2025-07-11 15:28:57.149934,9365.09998,156.08499966666668,3
W1 G5,2025-07-11 12:52:55.250006,2025-07-11 15:32:06.651757,9551.401751,159.19002918333334,5
W1 G6,2025-07-11 12:52:58.262229,2025-07-11 15:16:34.350366,8616.088137,143.60146895,5
