group,from_station,to_station,transition_time_seconds,transition_time_minutes
W1 G1,4.0,3.0,816.99477,13.6165795
W1 G1,3.0,2.0,83.000189,1.3833364833333335
W1 G1,2.0,5.0,29.999817,0.49999695
W1 G1,5.0,4.0,1156.001761,19.266696016666668
W1 G2,2.0,5.0,13.499967,0.22499945
W1 G2,5.0,4.0,370.004711,6.166745183333333
W1 G2,4.0,1.0,621.499871,10.358331183333332
W1 G2,1.0,3.0,1291.501677,21.52502795
W1 G3,5.0,4.0,18.996464,0.3166077333333333
W1 G3,4.0,1.0,1491.005953,24.850099216666667
W1 G3,1.0,3.0,1229.00143,20.483357166666668
W1 G3,3.0,2.0,40.016203,0.6669367166666667
W1 G4,4.0,3.0,3691.800116,61.53000193333333
W1 G4,3.0,5.0,1741.999081,29.033318016666666
W1 G5,4.0,3.0,3519.124958,58.65208263333333
W1 G5,3.0,2.0,841.000383,14.016673050000001
W1 G5,2.0,5.0,86.998422,1.4499737000000001
W1 G5,5.0,4.0,386.998352,6.449972533333334
W1 G6,4.0,3.0,2533.166835,42.21944725
W1 G6,3.0,2.0,846.997894,14.116631566666666
W1 G6,2.0,5.0,941.105074,15.685084566666665
W1 G6,5.0,4.0,12.960495,0.21600824999999998
