group,from_station,to_station,transition_time_seconds,transition_time_minutes
W2 G1,2.0,1.0,151.000229,2.5166704833333333
W2 G1,1.0,4.0,122.999008,2.0499834666666668
W2 G1,4.0,3.0,230.999718,3.8499953000000002
W2 G2,4.0,3.0,25.499944,0.42499906666666665
W2 G2,3.0,2.0,2952.800769,49.21334615
W2 G3,4.0,3.0,66.995208,1.1165868
W2 G3,3.0,2.0,2311.200045,38.52000075
W2 G3,2.0,1.0,697.099685,11.618328083333333
W2 G3,1.0,3.0,1812.698827,30.211647116666665
W2 G4,3.0,2.0,2383.907689,39.73179481666667
W2 G4,2.0,1.0,14.994044,0.24990073333333335
W2 G4,1.0,4.0,3372.695277,56.211587949999995
W2 G5,2.0,1.0,42.000348,0.7000058
W2 G5,1.0,4.0,106.002972,1.7667162
W2 G5,4.0,3.0,186.040675,3.1006779166666667
W2 G6,2.0,1.0,124.999773,2.08332955
W2 G6,1.0,4.0,60.986018,1.0164336333333333
W2 G6,4.0,3.0,337.005076,5.616751266666666
