"name","x","y","z","time"
"Group 1","40.73","14.78","-5.07","2025-09-19 12:02:11.081314"
"Group 1","40.91","13.98","-4.63","2025-09-19 12:02:13.081284"
"Group 1","41.08","13.38","-4.21","2025-09-19 12:02:15.081333"
"Group 1","41.11","12.95","-4.05","2025-09-19 12:02:23.081133"
"Group 1","41.51","12.49","-2.76","2025-09-19 12:02:24.081158"
"Group 1","41.73","10.75","-1.82","2025-09-19 12:04:58.080668"
"Group 1","42.03","9.7","-1.66","2025-09-19 12:04:59.081144"
"Group 1","42.02","9.47","-1.97","2025-09-19 12:05:01.081239"
"Group 1","41.77","11.05","-0.17","2025-09-19 12:05:06.08122"
"Group 1","41.36","12.03","-1.49","2025-09-19 12:05:07.081206"
"Group 1","41.29","12.71","0.07","2025-09-19 12:05:09.081272"
"Group 1","41.14","13.21","1.23","2025-09-19 12:05:12.08126"
"Group 1","41.1","13.61","2.08","2025-09-19 12:05:14.081175"
"Group 1","41.06","13.88","2.69","2025-09-19 12:05:16.08124"
"Group 1","40.93","14.16","3.36","2025-09-19 12:05:17.081272"
"Group 1","40.81","14.51","4.02","2025-09-19 12:05:18.081474"
"Group 1","40.86","14.71","4.38","2025-09-19 12:05:20.081448"
"Group 1","40.71","14.94","4.87","2025-09-19 12:05:22.081445"
"Group 1","40.66","14.99","5.11","2025-09-19 12:05:25.081358"
"Group 1","40.77","15.08","5.11","2025-09-19 12:05:26.081252"
"Group 1","40.87","15.16","5.12","2025-09-19 12:05:27.081325"
"Group 1","40.96","15","4.9","2025-09-19 12:05:28.081488"
"Group 1","41","15.06","4.89","2025-09-19 12:05:29.079551"
"Group 1","40.84","14.98","5.01","2025-09-19 12:05:31.081245"
"Group 1","40.89","14.8","4.76","2025-09-19 12:05:32.08227"
"Group 1","40.9","14.84","4.75","2025-09-19 12:05:35.08125"
"Group 1","40.91","14.82","4.72","2025-09-19 12:05:44.083596"
"Group 1","41.48","13.89","3.45","2025-09-19 12:05:50.079511"
"Group 1","41.83","13.15","2.44","2025-09-19 12:05:56.081357"
"Group 1","41.93","12.68","2.19","2025-09-19 12:06:00.079538"
"Group 1","41.95","12.34","1.05","2025-09-19 12:06:01.07948"
"Group 1","41.81","12.93","-0.56","2025-09-19 12:06:03.081259"
"Group 1","41.65","13.36","-1.46","2025-09-19 12:06:04.084129"
"Group 1","41.43","13.69","-1.99","2025-09-19 12:06:05.081907"
"Group 1","41.07","13.87","-2.42","2025-09-19 12:06:06.084276"
"Group 1","40.81","13.79","-0.86","2025-09-19 12:06:10.081311"
"Group 1","40.62","13.7","0.26","2025-09-19 12:06:12.081326"
