name,x,y,time
Group 1,40.61,13.18,2025-07-11 12:50:27.682198
Group 1,40.62,13.12,2025-07-11 12:50:28.450802
Group 1,40.62,13.21,2025-07-11 12:50:29.450425
Group 1,40.79,13.22,2025-07-11 12:50:30.450321
Group 1,40.78,13.23,2025-07-11 12:50:31.450763
Group 1,40.9,13.18,2025-07-11 12:50:32.450341
Group 1,40.6,13.11,2025-07-11 12:50:37.452409
Group 1,40.58,13.06,2025-07-11 12:50:38.450288
Group 1,40.77,13.07,2025-07-11 12:50:39.449936
Group 1,40.82,13.1,2025-07-11 12:50:40.450137
Group 1,40.93,13.1,2025-07-11 12:50:41.463462
Group 1,40.93,13.15,2025-07-11 12:50:42.45007
Group 1,40.96,13.2,2025-07-11 12:50:43.450386
Group 1,41.02,13.26,2025-07-11 12:50:44.450008
Group 1,41.03,13.39,2025-07-11 12:50:45.450493
Group 1,40.98,13.38,2025-07-11 12:50:46.450412
Group 1,40.85,13.34,2025-07-11 12:50:47.450499
Group 1,41.01,13.35,2025-07-11 12:50:48.453001
Group 1,41.22,13.38,2025-07-11 12:50:49.453721
Group 1,41.23,13.4,2025-07-11 12:50:50.451877
Group 1,41.28,13.37,2025-07-11 12:50:51.461901
Group 1,41.4,13.39,2025-07-11 12:50:52.459378
Group 1,41.37,13.39,2025-07-11 12:50:53.450589
Group 1,41.2,13.36,2025-07-11 12:50:54.450433
Group 1,41.06,13.36,2025-07-11 12:50:55.450495
Group 1,41.46,13.4,2025-07-11 12:50:56.450978
Group 1,41.37,13.38,2025-07-11 12:50:57.458962
Group 1,41.15,13.36,2025-07-11 12:50:58.451452
Group 1,41.25,13.4,2025-07-11 12:50:59.450522
Group 1,41.58,13.42,2025-07-11 12:51:01.469827
Group 1,41.98,13.45,2025-07-11 12:51:02.4513
Group 1,41.5,13.4,2025-07-11 12:51:07.450351
Group 1,41.47,13.42,2025-07-11 12:51:08.451865
Group 1,41.24,13.42,2025-07-11 12:51:09.450372
Group 1,40.95,13.34,2025-07-11 12:51:10.450364
Group 1,40.88,13.34,2025-07-11 12:51:11.450335
Group 1,41.01,13.33,2025-07-11 12:51:12.455738
Group 1,40.85,13.4,2025-07-11 12:51:13.44994
Group 1,40.77,13.38,2025-07-11 12:51:14.454072
Group 1,40.72,13.37,2025-07-11 12:51:15.450352
Group 1,40.74,13.31,2025-07-11 12:51:16.45027
Group 1,40.97,13.35,2025-07-11 12:51:17.450071
Group 1,41.05,13.36,2025-07-11 12:51:18.450234
Group 1,41.12,13.36,2025-07-11 12:51:19.449712
Group 1,41.01,13.43,2025-07-11 12:51:20.451463
Group 1,40.87,13.39,2025-07-11 12:51:21.450213
Group 1,40.9,13.5,2025-07-11 12:51:22.450234
Group 1,40.98,13.58,2025-07-11 12:51:23.449879
Group 1,41.03,13.52,2025-07-11 12:51:24.450775
Group 1,40.93,13.48,2025-07-11 12:51:25.465109
Group 1,40.85,13.45,2025-07-11 12:51:26.455732
Group 1,40.82,13.41,2025-07-11 12:51:27.45322
Group 1,40.79,13.4,2025-07-11 12:51:28.465639
Group 1,40.98,13.4,2025-07-11 12:51:29.4497
Group 1,40.87,13.38,2025-07-11 12:51:30.456645
Group 1,40.83,13.37,2025-07-11 12:51:31.454997
Group 1,40.86,13.35,2025-07-11 12:51:32.450157
Group 1,40.86,13.44,2025-07-11 12:51:33.465425
Group 1,40.9,13.35,2025-07-11 12:51:34.450896
Group 1,40.81,13.34,2025-07-11 12:51:35.45209
Group 1,40.85,13.32,2025-07-11 12:51:36.458008
Group 1,41.24,9.37,2025-07-11 12:51:42.450087
Group 1,41.1,8.61,2025-07-11 12:51:43.451046
Group 1,40.66,6.79,2025-07-11 12:51:49.450209
Group 1,40.73,6.72,2025-07-11 12:51:50.450482
Group 1,40.71,6.61,2025-07-11 12:51:51.44999
Group 1,40.6,6.55,2025-07-11 12:51:52.449608
Group 1,40.65,6.52,2025-07-11 12:51:53.450069
Group 1,40.65,6.48,2025-07-11 12:51:54.452169
Group 1,40.64,6.44,2025-07-11 12:51:55.450721
Group 1,40.63,6.42,2025-07-11 12:51:56.450099
Group 1,40.53,6.42,2025-07-11 12:51:57.449656
Group 1,40.54,6.41,2025-07-11 12:51:58.45005
Group 1,40.5,6.81,2025-07-11 12:51:59.450021
Group 1,40.47,7.55,2025-07-11 12:52:00.450018
Group 1,40.45,8.54,2025-07-11 12:52:01.450105
Group 1,40.57,9.63,2025-07-11 12:52:02.450087
Group 1,40.58,12.76,2025-07-11 12:52:08.450068
Group 1,40.58,12.96,2025-07-11 12:52:09.450039
Group 1,40.57,13.13,2025-07-11 12:52:10.450402
Group 1,40.58,13.25,2025-07-11 12:52:11.45621
Group 1,40.6,13.24,2025-07-11 12:52:12.450377
Group 1,40.62,13.29,2025-07-11 12:52:13.450209
Group 1,40.64,13.24,2025-07-11 12:52:14.449767
Group 1,40.63,13.25,2025-07-11 12:52:15.450982
