name,x,y,time
Group 2,30.97,10.0,2025-08-01 12:59:43.708291
Group 2,30.57,10.5,2025-08-01 12:59:44.706187
Group 2,30.44,10.89,2025-08-01 12:59:45.706498
Group 2,30.28,11.34,2025-08-01 12:59:46.706193
Group 2,30.18,11.81,2025-08-01 12:59:47.706045
Group 2,30.11,14.56,2025-08-01 12:59:55.706534
Group 2,30.45,15.86,2025-08-01 12:59:56.706691
Group 2,30.79,16.58,2025-08-01 12:59:57.706197
Group 2,31.19,16.96,2025-08-01 12:59:58.206362
Group 2,32.04,18.24,2025-08-01 13:00:03.206931
Group 2,32.2,18.41,2025-08-01 13:00:06.20653
Group 2,32.24,18.46,2025-08-01 13:00:07.207038
Group 2,33.33,20.01,2025-08-01 13:00:31.206336
Group 2,33.38,20.11,2025-08-01 13:00:33.206461
Group 2,33.4,20.2,2025-08-01 13:00:34.206179
Group 2,33.45,20.27,2025-08-01 13:00:42.206727
Group 2,33.49,20.31,2025-08-01 13:00:44.206699
Group 2,33.5,20.37,2025-08-01 13:00:45.20696
Group 2,33.51,20.37,2025-08-01 13:00:57.211574
Group 2,33.43,20.36,2025-08-01 13:01:00.20675
Group 2,33.36,20.43,2025-08-01 13:01:01.206528
Group 2,33.3,20.46,2025-08-01 13:01:02.205794
Group 2,33.34,20.45,2025-08-01 13:01:04.206291
Group 2,33.36,20.43,2025-08-01 13:01:05.206661
Group 2,33.36,20.43,2025-08-01 13:01:07.206368
Group 2,33.36,20.44,2025-08-01 13:01:11.206109
Group 2,33.36,20.44,2025-08-01 13:01:14.206661
Group 2,33.4,20.46,2025-08-01 13:01:17.206614
Group 2,33.44,20.38,2025-08-01 13:01:18.206719
Group 2,33.45,20.43,2025-08-01 13:01:20.206294
Group 2,33.48,20.46,2025-08-01 13:01:21.20602
Group 2,33.47,20.49,2025-08-01 13:01:26.206565
Group 2,33.49,20.5,2025-08-01 13:01:27.206597
Group 2,33.47,20.5,2025-08-01 13:01:28.205859
Group 2,33.48,20.51,2025-08-01 13:01:29.209454
Group 2,33.45,20.48,2025-08-01 13:01:42.70689
Group 2,33.44,20.51,2025-08-01 13:01:43.206041
Group 2,33.43,20.48,2025-08-01 13:01:43.706869
Group 2,33.45,20.51,2025-08-01 13:01:46.706205
Group 2,33.45,20.44,2025-08-01 13:01:48.705893
Group 2,33.45,20.44,2025-08-01 13:01:49.706131
Group 2,33.42,20.49,2025-08-01 13:01:53.706707
Group 2,33.48,20.53,2025-08-01 13:01:55.706331
Group 2,33.51,20.63,2025-08-01 13:02:02.706703
Group 2,33.56,20.58,2025-08-01 13:02:03.706417
Group 2,33.58,20.52,2025-08-01 13:02:04.706576
Group 2,33.55,20.53,2025-08-01 13:02:05.710439
Group 2,33.57,20.55,2025-08-01 13:02:06.706409
Group 2,33.61,20.57,2025-08-01 13:02:08.708737
Group 2,33.61,20.62,2025-08-01 13:02:10.706636
Group 2,33.61,20.59,2025-08-01 13:02:12.706432
Group 2,33.63,20.68,2025-08-01 13:02:13.706242
Group 2,33.66,20.65,2025-08-01 13:02:20.706027
Group 2,33.67,20.69,2025-08-01 13:02:21.706556
Group 2,33.68,20.74,2025-08-01 13:02:22.707134
Group 2,33.68,20.66,2025-08-01 13:02:24.70627
Group 2,33.7,20.6,2025-08-01 13:02:26.707595
Group 2,33.68,20.58,2025-08-01 13:02:27.706168
Group 2,33.66,20.53,2025-08-01 13:02:28.706115
Group 2,33.65,20.62,2025-08-01 13:02:31.706273
Group 2,33.66,20.7,2025-08-01 13:02:32.709128
Group 2,33.62,20.71,2025-08-01 13:03:13.708501
Group 2,33.59,20.72,2025-08-01 13:03:14.707208
Group 2,33.63,20.75,2025-08-01 13:03:17.706383
Group 2,33.63,20.66,2025-08-01 13:03:20.706129
Group 2,33.62,20.69,2025-08-01 13:03:21.707598
Group 2,33.63,20.58,2025-08-01 13:03:22.708078
Group 2,33.67,20.58,2025-08-01 13:03:25.706686
Group 2,33.66,20.63,2025-08-01 13:03:31.706543
Group 2,33.66,20.69,2025-08-01 13:03:32.706724
Group 2,33.66,20.63,2025-08-01 13:03:34.709528
Group 2,33.67,20.78,2025-08-01 13:03:37.706349
Group 2,33.66,20.82,2025-08-01 13:03:54.706133
Group 2,33.66,20.84,2025-08-01 13:03:55.706176
Group 2,33.65,20.85,2025-08-01 13:03:57.706455
Group 2,33.68,20.78,2025-08-01 13:04:00.707224
Group 2,33.72,20.72,2025-08-01 13:04:01.205884
Group 2,33.73,20.66,2025-08-01 13:04:01.708624
Group 2,33.75,20.65,2025-08-01 13:04:02.206083
Group 2,33.77,20.64,2025-08-01 13:04:02.706368
Group 2,33.76,20.71,2025-08-01 13:04:03.20611
Group 2,33.75,20.7,2025-08-01 13:04:08.206037
Group 2,33.72,20.76,2025-08-01 13:04:17.211517
Group 2,33.71,20.28,2025-08-01 13:04:20.207659
Group 2,33.68,20.42,2025-08-01 13:04:22.20846
Group 2,33.68,20.53,2025-08-01 13:04:23.206503
Group 2,33.68,20.08,2025-08-01 13:04:24.207462
Group 2,33.66,20.35,2025-08-01 13:04:25.206772
Group 2,33.66,20.53,2025-08-01 13:04:26.206404
Group 2,33.65,20.59,2025-08-01 13:04:28.206214
Group 2,33.63,20.68,2025-08-01 13:04:29.209441
Group 2,33.67,20.16,2025-08-01 13:04:30.208101
Group 2,33.69,19.75,2025-08-01 13:04:31.206109
Group 2,33.69,19.46,2025-08-01 13:04:32.205929
Group 2,33.69,19.23,2025-08-01 13:04:33.206169
Group 2,33.69,19.04,2025-08-01 13:04:37.209175
Group 2,33.68,18.9,2025-08-01 13:04:38.206527
Group 2,33.68,18.97,2025-08-01 13:04:40.206126
Group 2,33.68,19.51,2025-08-01 13:04:41.206515
Group 2,33.68,19.91,2025-08-01 13:04:42.208239
Group 2,33.7,19.59,2025-08-01 13:04:43.205971
Group 2,33.7,19.91,2025-08-01 13:04:44.209868
Group 2,33.7,20.16,2025-08-01 13:04:45.207231
Group 2,33.7,19.78,2025-08-01 13:04:47.206553
Group 2,33.72,19.47,2025-08-01 13:04:48.207495
Group 2,33.71,19.82,2025-08-01 13:04:50.20637
Group 2,33.68,19.97,2025-08-01 13:04:54.20661
Group 2,33.68,19.68,2025-08-01 13:04:55.207874
Group 2,33.69,19.52,2025-08-01 13:04:56.20719
Group 2,33.68,19.72,2025-08-01 13:04:57.206716
Group 2,33.68,19.98,2025-08-01 13:04:58.208083
Group 2,33.67,20.19,2025-08-01 13:04:59.209436
Group 2,33.68,20.35,2025-08-01 13:05:00.207034
Group 2,33.69,20.23,2025-08-01 13:05:01.206514
Group 2,33.68,20.41,2025-08-01 13:05:02.206459
Group 2,33.68,20.52,2025-08-01 13:05:03.206941
Group 2,33.66,20.62,2025-08-01 13:05:04.206687
Group 2,33.65,20.65,2025-08-01 13:05:05.206073
Group 2,33.65,20.7,2025-08-01 13:05:06.207898
Group 2,33.65,20.75,2025-08-01 13:05:07.216026
Group 2,33.65,20.84,2025-08-01 13:05:08.206586
Group 2,33.69,20.83,2025-08-01 13:05:11.206559
Group 2,33.69,20.87,2025-08-01 13:05:15.206341
Group 2,33.75,20.63,2025-08-01 13:05:21.207802
Group 2,33.78,20.71,2025-08-01 13:05:22.207137
Group 2,33.79,20.76,2025-08-01 13:05:34.206822
Group 2,33.83,20.79,2025-08-01 13:05:35.206616
Group 2,33.82,20.81,2025-08-01 13:05:36.20642
Group 2,33.92,20.66,2025-08-01 13:05:38.209023
Group 2,33.94,20.82,2025-08-01 13:05:39.209871
Group 2,33.98,20.94,2025-08-01 13:05:43.208579
Group 2,33.99,20.62,2025-08-01 13:05:45.206353
Group 2,33.95,20.89,2025-08-01 13:05:45.706531
Group 2,33.89,21.05,2025-08-01 13:05:46.206734
Group 2,33.86,20.95,2025-08-01 13:05:48.706208
Group 2,33.78,20.74,2025-08-01 13:05:51.706976
Group 2,33.74,20.66,2025-08-01 13:05:54.705928
Group 2,33.8,20.23,2025-08-01 13:05:56.706494
Group 2,33.8,20.51,2025-08-01 13:05:59.706841
Group 2,33.82,20.59,2025-08-01 13:06:02.706506
Group 2,33.87,20.28,2025-08-01 13:06:10.207514
Group 2,33.9,19.94,2025-08-01 13:06:10.707361
Group 2,33.84,20.3,2025-08-01 13:06:15.207331
Group 2,33.83,20.36,2025-08-01 13:06:17.206475
Group 2,33.83,20.44,2025-08-01 13:06:26.205849
Group 2,33.81,20.26,2025-08-01 13:06:28.20893
Group 2,33.82,20.37,2025-08-01 13:06:31.206332
Group 2,33.84,20.47,2025-08-01 13:06:32.206995
Group 2,33.85,20.44,2025-08-01 13:06:33.206724
Group 2,33.87,20.6,2025-08-01 13:06:40.206909
Group 2,33.86,20.66,2025-08-01 13:06:41.208892
Group 2,33.85,20.26,2025-08-01 13:06:42.206252
Group 2,33.84,20.52,2025-08-01 13:06:46.206317
Group 2,33.84,20.6,2025-08-01 13:06:54.206197
Group 2,33.86,20.65,2025-08-01 13:06:55.206025
Group 2,33.88,20.57,2025-08-01 13:06:56.208442
Group 2,33.86,20.64,2025-08-01 13:06:58.206675
Group 2,33.86,20.75,2025-08-01 13:06:59.209452
Group 2,33.87,20.28,2025-08-01 13:07:01.208145
Group 2,33.88,20.12,2025-08-01 13:07:02.207101
Group 2,33.89,19.79,2025-08-01 13:07:03.20675
Group 2,33.91,19.57,2025-08-01 13:07:10.210222
Group 2,33.9,19.85,2025-08-01 13:07:16.206507
Group 2,33.9,20.04,2025-08-01 13:07:18.206517
Group 2,33.88,20.23,2025-08-01 13:07:22.206848
Group 2,33.89,19.83,2025-08-01 13:07:23.206265
Group 2,33.83,20.26,2025-08-01 13:07:24.206535
Group 2,33.85,20.14,2025-08-01 13:07:27.205955
Group 2,33.88,19.83,2025-08-01 13:07:28.206603
Group 2,33.89,19.98,2025-08-01 13:07:30.207529
Group 2,33.89,20.18,2025-08-01 13:07:31.207291
Group 2,33.9,20.28,2025-08-01 13:07:32.207574
Group 2,33.92,20.41,2025-08-01 13:07:33.206447
Group 2,33.91,20.59,2025-08-01 13:07:34.206401
Group 2,33.92,20.65,2025-08-01 13:07:35.205929
