name,x,y,time
Group 1,35.46,12.96,2025-09-19 13:15:27.37754
Group 1,35.76,13.13,2025-09-19 13:15:28.37775
Group 1,35.51,12.92,2025-09-19 13:15:29.378464
Group 1,35.52,12.96,2025-09-19 13:15:30.377715
Group 1,35.72,13.01,2025-09-19 13:15:31.377652
Group 1,35.62,12.97,2025-09-19 13:15:32.377712
Group 1,35.73,12.95,2025-09-19 13:15:33.378009
Group 1,35.96,12.89,2025-09-19 13:15:34.378002
Group 1,36.03,12.91,2025-09-19 13:15:35.377685
Group 1,35.98,12.86,2025-09-19 13:15:36.379539
Group 1,36.04,12.86,2025-09-19 13:15:37.377667
Group 1,35.94,12.89,2025-09-19 13:15:38.377583
Group 1,35.77,12.85,2025-09-19 13:15:39.377734
Group 1,35.78,12.87,2025-09-19 13:15:40.379041
Group 1,35.51,12.77,2025-09-19 13:15:41.382273
Group 1,35.57,12.77,2025-09-19 13:15:42.379256
Group 1,36.16,13.04,2025-09-19 13:15:43.379378
Group 1,36.12,12.92,2025-09-19 13:15:44.379097
Group 1,36.08,12.91,2025-09-19 13:15:45.377675
Group 1,35.98,12.79,2025-09-19 13:15:46.377642
Group 1,35.92,12.89,2025-09-19 13:15:47.377723
Group 1,36.0,12.96,2025-09-19 13:15:48.377784
Group 1,35.7,12.78,2025-09-19 13:15:49.377785
Group 1,36.14,13.0,2025-09-19 13:15:50.378487
Group 1,36.27,13.15,2025-09-19 13:15:51.3793
Group 1,36.02,13.08,2025-09-19 13:15:52.379425
Group 1,35.89,13.0,2025-09-19 13:15:53.379238
Group 1,35.99,13.1,2025-09-19 13:15:54.379217
Group 1,36.06,13.01,2025-09-19 13:15:55.379216
Group 1,35.88,12.97,2025-09-19 13:15:57.379205
Group 1,35.74,13.12,2025-09-19 13:15:58.379303
Group 1,35.91,13.15,2025-09-19 13:15:59.379271
Group 1,36.12,13.14,2025-09-19 13:16:00.377625
Group 1,35.86,12.92,2025-09-19 13:16:01.377612
Group 1,35.51,12.64,2025-09-19 13:16:02.377646
Group 1,36.03,12.88,2025-09-19 13:16:03.37773
Group 1,36.1,12.87,2025-09-19 13:16:04.377869
Group 1,35.97,12.73,2025-09-19 13:16:05.379424
Group 1,35.84,12.75,2025-09-19 13:16:06.379155
Group 1,35.78,12.69,2025-09-19 13:16:07.379138
Group 1,35.65,12.58,2025-09-19 13:16:08.379206
Group 1,35.67,12.55,2025-09-19 13:16:09.379117
Group 1,35.6,12.63,2025-09-19 13:16:10.379077
Group 1,35.72,12.66,2025-09-19 13:16:11.379184
Group 1,35.8,12.68,2025-09-19 13:16:12.379169
Group 1,35.68,12.8,2025-09-19 13:16:13.379425
Group 1,35.61,12.68,2025-09-19 13:16:14.379138
Group 1,35.46,12.53,2025-09-19 13:16:15.377629
Group 1,35.42,12.61,2025-09-19 13:16:16.379133
Group 1,35.41,12.68,2025-09-19 13:16:17.379203
Group 1,35.23,12.67,2025-09-19 13:16:18.379239
Group 1,35.1,13.05,2025-09-19 13:16:19.379278
Group 1,35.38,12.96,2025-09-19 13:16:20.37887
Group 1,35.52,13.09,2025-09-19 13:16:21.378856
Group 1,35.58,13.07,2025-09-19 13:16:23.378923
Group 1,35.64,13.2,2025-09-19 13:16:24.379213
Group 1,35.8,13.23,2025-09-19 13:16:25.379099
Group 1,35.81,13.33,2025-09-19 13:16:26.379124
Group 1,35.72,13.28,2025-09-19 13:16:27.379638
Group 1,35.69,13.07,2025-09-19 13:16:28.379225
Group 1,35.44,12.88,2025-09-19 13:16:29.379031
Group 1,35.54,13.02,2025-09-19 13:16:31.379115
Group 1,35.61,13.12,2025-09-19 13:16:33.379169
Group 1,35.81,13.15,2025-09-19 13:16:34.37921
Group 1,36.09,13.28,2025-09-19 13:16:35.379238
Group 1,36.08,13.2,2025-09-19 13:16:36.379232
Group 1,36.02,13.2,2025-09-19 13:16:37.379157
Group 1,35.98,13.23,2025-09-19 13:16:38.37924
Group 1,36.13,13.31,2025-09-19 13:16:40.379162
Group 1,36.08,13.4,2025-09-19 13:16:41.378334
Group 1,36.02,13.42,2025-09-19 13:16:42.379291
Group 1,35.98,13.51,2025-09-19 13:16:43.379101
Group 1,35.96,13.45,2025-09-19 13:16:44.379237
Group 1,35.97,13.39,2025-09-19 13:16:45.37917
Group 1,35.96,13.37,2025-09-19 13:16:46.379206
Group 1,36.09,13.34,2025-09-19 13:16:47.379335
Group 1,36.08,13.31,2025-09-19 13:16:48.379171
Group 1,36.17,13.48,2025-09-19 13:16:49.379086
Group 1,36.39,13.42,2025-09-19 13:16:50.377546
Group 1,36.4,13.37,2025-09-19 13:16:51.379182
Group 1,36.52,13.76,2025-09-19 13:16:52.379338
Group 1,36.5,13.65,2025-09-19 13:16:53.379583
Group 1,36.61,13.78,2025-09-19 13:16:54.379102
Group 1,36.57,13.66,2025-09-19 13:16:55.379166
Group 1,36.66,13.51,2025-09-19 13:16:56.379271
Group 1,36.66,13.32,2025-09-19 13:16:57.379146
Group 1,36.57,13.49,2025-09-19 13:16:59.377548
Group 1,36.5,13.55,2025-09-19 13:17:00.379222
Group 1,36.36,13.65,2025-09-19 13:17:03.377612
Group 1,36.17,13.46,2025-09-19 13:17:04.377653
Group 1,36.24,13.44,2025-09-19 13:17:07.379444
Group 1,36.24,13.41,2025-09-19 13:17:08.379205
Group 1,36.32,13.43,2025-09-19 13:17:09.377526
Group 1,36.27,13.54,2025-09-19 13:17:10.378871
Group 1,36.33,13.47,2025-09-19 13:17:11.37886
Group 1,36.25,13.4,2025-09-19 13:17:12.378862
Group 1,36.35,13.28,2025-09-19 13:17:13.378831
Group 1,36.12,13.3,2025-09-19 13:17:14.379244
Group 1,36.37,13.09,2025-09-19 13:17:15.379094
Group 1,36.67,12.82,2025-09-19 13:17:16.382316
Group 1,36.7,12.88,2025-09-19 13:17:17.377561
Group 1,36.52,12.8,2025-09-19 13:17:18.377509
Group 1,36.63,12.76,2025-09-19 13:17:19.37791
Group 1,36.75,12.63,2025-09-19 13:17:20.378573
Group 1,36.84,12.76,2025-09-19 13:17:21.377422
Group 1,36.78,12.93,2025-09-19 13:17:22.379129
Group 1,36.78,12.79,2025-09-19 13:17:23.37771
Group 1,36.75,12.69,2025-09-19 13:17:24.379073
Group 1,36.66,12.71,2025-09-19 13:17:25.377491
Group 1,36.73,12.81,2025-09-19 13:17:26.377492
Group 1,36.58,12.76,2025-09-19 13:17:27.377478
Group 1,36.32,12.64,2025-09-19 13:17:28.377857
Group 1,36.3,12.64,2025-09-19 13:17:29.382372
Group 1,36.39,12.66,2025-09-19 13:17:30.378925
Group 1,36.45,12.92,2025-09-19 13:17:31.377655
Group 1,36.57,12.79,2025-09-19 13:17:32.379016
Group 1,36.74,12.69,2025-09-19 13:17:33.378896
Group 1,36.78,12.7,2025-09-19 13:17:34.378988
Group 1,36.78,12.63,2025-09-19 13:17:35.377517
Group 1,36.66,12.57,2025-09-19 13:17:36.37753
Group 1,36.6,12.63,2025-09-19 13:17:37.381853
Group 1,36.43,12.67,2025-09-19 13:17:38.377645
Group 1,36.49,12.61,2025-09-19 13:17:39.377547
Group 1,36.39,12.65,2025-09-19 13:17:40.37768
Group 1,36.34,12.62,2025-09-19 13:17:41.377644
Group 1,36.46,12.69,2025-09-19 13:17:43.377598
Group 1,36.55,12.81,2025-09-19 13:17:44.37968
Group 1,36.7,12.66,2025-09-19 13:17:45.377629
Group 1,36.5,12.58,2025-09-19 13:17:48.377577
Group 1,36.4,12.58,2025-09-19 13:17:49.377588
Group 1,36.52,12.65,2025-09-19 13:17:50.377707
Group 1,36.49,12.81,2025-09-19 13:17:51.377695
Group 1,36.66,12.87,2025-09-19 13:17:52.377685
Group 1,36.72,12.79,2025-09-19 13:17:53.379074
Group 1,36.83,12.8,2025-09-19 13:17:54.37911
Group 1,36.65,12.69,2025-09-19 13:17:55.379926
Group 1,36.49,12.6,2025-09-19 13:17:56.379668
Group 1,36.34,12.63,2025-09-19 13:17:57.379081
Group 1,36.43,12.74,2025-09-19 13:17:58.37927
Group 1,36.23,12.73,2025-09-19 13:17:59.379099
Group 1,36.05,12.72,2025-09-19 13:18:00.379197
Group 1,36.34,12.64,2025-09-19 13:18:01.379163
Group 1,36.36,12.74,2025-09-19 13:18:02.377634
Group 1,36.56,12.67,2025-09-19 13:18:03.377593
Group 1,36.44,12.78,2025-09-19 13:18:04.377556
Group 1,36.37,12.91,2025-09-19 13:18:05.37894
Group 1,36.32,12.99,2025-09-19 13:18:06.382471
Group 1,36.47,12.89,2025-09-19 13:18:07.379079
Group 1,36.64,12.95,2025-09-19 13:18:08.379077
Group 1,36.51,12.94,2025-09-19 13:18:09.378879
Group 1,36.41,12.97,2025-09-19 13:18:10.378896
Group 1,36.33,12.95,2025-09-19 13:18:11.37911
Group 1,36.31,12.93,2025-09-19 13:18:12.379095
Group 1,36.39,12.89,2025-09-19 13:18:13.37745
Group 1,36.45,12.83,2025-09-19 13:18:14.378867
Group 1,36.29,12.86,2025-09-19 13:18:15.378844
Group 1,36.26,12.91,2025-09-19 13:18:16.378845
Group 1,36.17,12.91,2025-09-19 13:18:17.378903
Group 1,36.17,12.97,2025-09-19 13:18:18.378877
Group 1,36.18,13.06,2025-09-19 13:18:19.377681
Group 1,36.35,12.94,2025-09-19 13:18:20.37762
Group 1,36.47,12.85,2025-09-19 13:18:21.378859
Group 1,36.72,12.8,2025-09-19 13:18:22.378901
Group 1,36.59,12.87,2025-09-19 13:18:23.379073
Group 1,36.47,12.9,2025-09-19 13:18:24.377597
Group 1,36.44,12.91,2025-09-19 13:18:25.378868
Group 1,36.37,12.9,2025-09-19 13:18:26.379333
Group 1,36.24,12.86,2025-09-19 13:18:27.379095
Group 1,36.25,12.84,2025-09-19 13:18:28.379214
Group 1,36.24,12.89,2025-09-19 13:18:29.379103
Group 1,36.21,12.98,2025-09-19 13:18:30.379043
Group 1,36.15,12.95,2025-09-19 13:18:31.379023
Group 1,36.25,12.92,2025-09-19 13:18:32.378987
Group 1,36.22,12.94,2025-09-19 13:18:33.377454
