name,x,y,time
Group 1,33.72,11.58,2025-08-01 12:59:31.008282
Group 1,33.07,12.17,2025-08-01 12:59:32.006217
Group 1,32.94,13.87,2025-08-01 12:59:34.006532
Group 1,33.18,14.03,2025-08-01 12:59:35.006176
Group 1,34.07,16.53,2025-08-01 12:59:42.013288
Group 1,34.26,15.98,2025-08-01 12:59:43.006495
Group 1,34.37,15.48,2025-08-01 12:59:44.006425
Group 1,34.46,15.19,2025-08-01 12:59:45.006623
Group 1,34.61,16.34,2025-08-01 12:59:55.007319
Group 1,34.73,15.88,2025-08-01 12:59:56.010129
Group 1,34.77,15.42,2025-08-01 12:59:57.006734
Group 1,34.9,14.98,2025-08-01 12:59:58.006955
Group 1,34.56,13.52,2025-08-01 13:00:03.006523
Group 1,34.57,13.4,2025-08-01 13:00:04.007475
Group 1,34.58,13.27,2025-08-01 13:00:05.010134
Group 1,34.6,13.52,2025-08-01 13:00:07.006203
Group 1,34.25,13.66,2025-08-01 13:00:20.006139
Group 1,34.5,13.72,2025-08-01 13:00:21.005972
Group 1,34.54,13.76,2025-08-01 13:00:22.006069
Group 1,34.58,13.68,2025-08-01 13:00:23.00586
Group 1,34.53,13.62,2025-08-01 13:00:25.006705
Group 1,34.5,13.66,2025-08-01 13:00:30.006699
Group 1,34.6,13.59,2025-08-01 13:00:31.006402
Group 1,34.76,13.54,2025-08-01 13:00:32.006588
Group 1,34.76,13.49,2025-08-01 13:00:33.006403
Group 1,34.88,13.45,2025-08-01 13:00:34.006219
Group 1,34.55,13.12,2025-08-01 13:00:35.006218
Group 1,34.84,13.2,2025-08-01 13:00:36.006164
Group 1,34.85,13.14,2025-08-01 13:00:37.006158
Group 1,34.88,13.74,2025-08-01 13:00:38.006022
Group 1,35.14,14.09,2025-08-01 13:00:40.006962
Group 1,35.37,13.94,2025-08-01 13:00:41.006138
Group 1,35.35,13.79,2025-08-01 13:00:42.005991
Group 1,35.3,14.14,2025-08-01 13:00:44.005776
Group 1,35.3,14.22,2025-08-01 13:00:45.006119
Group 1,35.28,13.96,2025-08-01 13:00:46.005861
Group 1,35.27,13.82,2025-08-01 13:00:47.006059
Group 1,35.24,13.68,2025-08-01 13:00:48.006212
Group 1,35.12,13.43,2025-08-01 13:00:49.006131
Group 1,34.93,13.9,2025-08-01 13:00:50.006876
Group 1,35.12,14.34,2025-08-01 13:00:52.00625
Group 1,35.29,14.75,2025-08-01 13:00:54.005966
Group 1,35.13,14.78,2025-08-01 13:00:55.009752
Group 1,35.13,14.48,2025-08-01 13:00:58.006715
Group 1,35.11,14.13,2025-08-01 13:00:59.007208
Group 1,34.59,13.94,2025-08-01 13:01:00.006294
Group 1,34.9,13.96,2025-08-01 13:01:01.008489
Group 1,35.14,14.02,2025-08-01 13:01:02.006154
Group 1,35.01,13.72,2025-08-01 13:01:05.00612
Group 1,35.3,13.91,2025-08-01 13:01:06.006662
Group 1,35.29,13.7,2025-08-01 13:01:07.006397
Group 1,35.29,13.73,2025-08-01 13:01:08.006711
Group 1,35.47,13.58,2025-08-01 13:01:10.01069
Group 1,35.7,13.41,2025-08-01 13:01:12.007158
Group 1,35.81,13.38,2025-08-01 13:01:13.007642
Group 1,35.85,13.34,2025-08-01 13:01:14.009736
Group 1,35.72,13.5,2025-08-01 13:01:16.006196
Group 1,35.46,13.47,2025-08-01 13:01:17.006662
Group 1,34.7,12.96,2025-08-01 13:01:18.006957
Group 1,34.7,13.09,2025-08-01 13:01:19.006185
Group 1,34.85,13.09,2025-08-01 13:01:20.006126
Group 1,34.71,13.66,2025-08-01 13:01:21.006249
Group 1,34.58,13.97,2025-08-01 13:01:23.007321
Group 1,34.37,14.13,2025-08-01 13:01:25.006099
Group 1,34.2,13.65,2025-08-01 13:01:26.008258
Group 1,33.64,14.02,2025-08-01 13:01:28.006409
Group 1,33.66,14.24,2025-08-01 13:01:29.006155
Group 1,33.9,14.17,2025-08-01 13:01:30.006255
Group 1,34.05,14.27,2025-08-01 13:01:32.015699
Group 1,34.16,13.85,2025-08-01 13:01:36.006797
Group 1,34.03,13.62,2025-08-01 13:01:38.006489
Group 1,34.03,13.31,2025-08-01 13:01:39.007645
Group 1,34.27,13.19,2025-08-01 13:01:40.009619
Group 1,34.23,13.72,2025-08-01 13:01:42.006084
Group 1,34.16,13.43,2025-08-01 13:01:43.006261
Group 1,34.23,13.93,2025-08-01 13:01:44.012349
Group 1,34.33,13.82,2025-08-01 13:01:46.005903
Group 1,34.26,13.48,2025-08-01 13:01:48.006536
Group 1,34.27,13.25,2025-08-01 13:01:50.011848
Group 1,34.16,12.98,2025-08-01 13:01:51.006345
Group 1,34.21,12.85,2025-08-01 13:01:52.00614
Group 1,34.58,12.96,2025-08-01 13:01:53.007405
Group 1,34.39,12.78,2025-08-01 13:01:55.006117
Group 1,34.44,12.76,2025-08-01 13:01:56.006629
Group 1,34.37,12.64,2025-08-01 13:01:57.005918
Group 1,34.1,12.46,2025-08-01 13:01:58.005928
Group 1,34.14,12.47,2025-08-01 13:01:59.007562
Group 1,34.26,12.55,2025-08-01 13:02:01.006182
Group 1,34.09,12.8,2025-08-01 13:02:06.006492
Group 1,34.02,12.67,2025-08-01 13:02:07.00645
Group 1,34.28,13.44,2025-08-01 13:02:10.006567
Group 1,34.49,14.07,2025-08-01 13:02:11.006285
Group 1,34.46,14.44,2025-08-01 13:02:16.006102
Group 1,34.43,14.59,2025-08-01 13:02:18.007334
Group 1,34.44,14.5,2025-08-01 13:02:19.006496
Group 1,34.24,14.5,2025-08-01 13:02:22.006378
Group 1,34.28,14.44,2025-08-01 13:02:28.006546
Group 1,34.38,14.95,2025-08-01 13:02:31.006446
Group 1,34.43,15.02,2025-08-01 13:02:36.0065
Group 1,34.46,15.12,2025-08-01 13:02:45.006093
Group 1,34.12,15.26,2025-08-01 13:02:48.006033
Group 1,34.21,15.52,2025-08-01 13:02:49.006214
Group 1,34.19,14.96,2025-08-01 13:02:51.006279
Group 1,34.14,14.85,2025-08-01 13:02:52.006407
Group 1,34.16,16.13,2025-08-01 13:02:53.006392
Group 1,34.16,15.26,2025-08-01 13:02:54.006763
Group 1,34.15,14.64,2025-08-01 13:02:55.006907
Group 1,34.1,15.63,2025-08-01 13:02:56.005935
Group 1,34.09,15.49,2025-08-01 13:02:57.006251
Group 1,34.21,15.91,2025-08-01 13:03:00.006943
Group 1,34.29,15.64,2025-08-01 13:03:03.006082
Group 1,34.9,13.6,2025-08-01 13:03:12.006185
Group 1,34.81,13.34,2025-08-01 13:03:13.006501
Group 1,34.99,13.88,2025-08-01 13:03:14.006126
Group 1,34.95,14.3,2025-08-01 13:03:16.006975
Group 1,35.0,13.98,2025-08-01 13:03:17.006012
Group 1,34.85,13.64,2025-08-01 13:03:20.006192
Group 1,34.83,13.47,2025-08-01 13:03:21.006336
Group 1,34.66,13.84,2025-08-01 13:03:22.006461
Group 1,34.62,13.68,2025-08-01 13:03:24.006829
Group 1,34.73,13.56,2025-08-01 13:03:28.008692
Group 1,34.9,13.66,2025-08-01 13:03:30.009862
Group 1,34.96,13.75,2025-08-01 13:03:32.006488
Group 1,34.63,13.7,2025-08-01 13:03:34.006255
Group 1,34.66,14.34,2025-08-01 13:03:39.00636
Group 1,34.52,13.94,2025-08-01 13:03:56.006733
Group 1,34.53,14.31,2025-08-01 13:03:58.006888
Group 1,34.57,14.4,2025-08-01 13:04:01.006661
Group 1,34.76,14.77,2025-08-01 13:04:02.006732
Group 1,34.84,14.91,2025-08-01 13:04:04.006326
Group 1,34.79,14.43,2025-08-01 13:04:05.006233
Group 1,34.91,14.43,2025-08-01 13:04:06.006098
