name,x,y,z,time
group 4,40.45,15.2,-2.56,2025-09-19 12:01:45.283582
group 4,40.51,15.18,-0.63,2025-09-19 12:01:47.284707
group 4,40.66,14.79,0.45,2025-09-19 12:01:51.283661
group 4,40.68,14.73,1.5,2025-09-19 12:01:56.283451
group 4,40.64,14.91,2.5,2025-09-19 12:01:57.283478
group 4,40.6,14.7,2.95,2025-09-19 12:02:03.282003
group 4,41.14,15.33,3.72,2025-09-19 12:02:06.281361
group 4,41.19,14.66,3.91,2025-09-19 12:02:08.282441
group 4,41.33,13.92,1.9,2025-09-19 12:02:09.282158
group 4,41.29,13.4,0.47,2025-09-19 12:02:10.290484
group 4,41.37,12.94,-0.5,2025-09-19 12:02:12.288007
group 4,41.41,12.63,-1.15,2025-09-19 12:02:13.328501
group 4,41.39,12.44,-1.76,2025-09-19 12:02:15.287638
group 4,41.55,12.16,-1.99,2025-09-19 12:02:19.281468
group 4,41.41,12.12,-2.51,2025-09-19 12:02:20.281215
group 4,41.46,11.99,-2.67,2025-09-19 12:02:23.281288
group 4,41.52,11.88,-2.78,2025-09-19 12:02:24.281177
group 4,41.89,11.5,-2.3,2025-09-19 12:02:25.281256
group 4,41.89,10.03,-2.64,2025-09-19 12:02:29.281323
group 4,41.48,8.87,-3.52,2025-09-19 12:02:36.281065
group 4,41.48,7.97,-1.66,2025-09-19 12:02:56.280555
group 4,41.06,7.34,0.43,2025-09-19 12:02:57.283353
group 4,41.52,6.61,0.53,2025-09-19 12:03:09.2814
group 4,41.64,6.04,1.09,2025-09-19 12:03:43.281223
group 4,41.64,5.44,-0.16,2025-09-19 12:03:45.281403
group 4,40.81,5.37,1.89,2025-09-19 12:03:51.28329
group 4,40.15,5.34,3.45,2025-09-19 12:03:52.283459
group 4,40.18,5.29,4.08,2025-09-19 12:04:07.28116
group 4,40.68,5.22,3.66,2025-09-19 12:04:11.28131
group 4,40.99,5.19,3.49,2025-09-19 12:04:12.281348
group 4,41.21,5.16,3.34,2025-09-19 12:04:14.280192
group 4,41.38,5.15,3.26,2025-09-19 12:04:20.279424
group 4,41.55,5.12,3.11,2025-09-19 12:04:21.281196
group 4,41.63,5.12,3.1,2025-09-19 12:04:23.281761
group 4,41.7,5.11,3.1,2025-09-19 12:04:29.285617
group 4,41.71,5.14,3.22,2025-09-19 12:04:33.279619
group 4,41.95,4.93,2.57,2025-09-19 12:04:34.28001
group 4,42.0,4.94,2.5,2025-09-19 12:04:36.281404
group 4,41.87,5.0,2.95,2025-09-19 12:04:45.281272
group 4,41.55,5.05,0.8,2025-09-19 12:04:47.281489
group 4,41.78,4.87,0.81,2025-09-19 12:04:48.281266
group 4,41.57,5.04,-0.61,2025-09-19 12:04:57.281523
group 4,41.67,5.29,0.21,2025-09-19 12:04:58.279483
group 4,41.77,5.69,0.88,2025-09-19 12:04:59.28115
group 4,42.1,7.03,0.38,2025-09-19 12:05:03.281253
group 4,41.69,8.82,1.44,2025-09-19 12:05:06.279652
group 4,41.18,10.3,2.64,2025-09-19 12:05:10.281313
group 4,41.1,11.35,3.13,2025-09-19 12:05:14.279524
group 4,41.06,12.23,3.54,2025-09-19 12:05:17.27948
group 4,41.01,13.07,4.0,2025-09-19 12:05:18.27969
group 4,41.07,13.62,4.29,2025-09-19 12:05:19.281216
group 4,41.06,14.09,4.54,2025-09-19 12:05:20.27963
group 4,41.04,14.43,4.74,2025-09-19 12:05:21.279475
group 4,41.07,14.73,4.9,2025-09-19 12:05:22.279476
group 4,41.34,14.71,4.79,2025-09-19 12:05:23.281349
group 4,41.29,14.91,2.28,2025-09-19 12:05:24.280556
group 4,41.26,14.99,0.46,2025-09-19 12:05:25.279624
group 4,41.27,15.02,-0.88,2025-09-19 12:05:26.279552
group 4,41.45,14.99,-1.83,2025-09-19 12:05:27.279572
group 4,41.41,15.26,-2.76,2025-09-19 12:05:28.2797
group 4,41.34,14.99,-3.06,2025-09-19 12:05:29.279507
group 4,41.22,15.42,-3.77,2025-09-19 12:05:30.279523
group 4,41.07,15.19,-3.95,2025-09-19 12:05:31.280757
group 4,41.0,15.33,-1.54,2025-09-19 12:05:34.279482
group 4,41.07,15.27,0.2,2025-09-19 12:05:35.280883
group 4,40.91,15.22,-1.37,2025-09-19 12:05:37.281226
group 4,40.66,15.76,0.78,2025-09-19 12:05:38.279504
group 4,40.5,15.67,2.15,2025-09-19 12:05:40.281237
group 4,40.57,15.98,3.38,2025-09-19 12:05:41.281503
group 4,40.37,15.74,4.12,2025-09-19 12:05:43.280673
group 4,41.05,15.18,3.55,2025-09-19 12:05:45.281874
group 4,41.4,14.13,2.61,2025-09-19 12:05:50.279521
group 4,41.45,13.47,2.82,2025-09-19 12:05:56.279454
group 4,41.62,12.92,1.48,2025-09-19 12:06:00.279619
group 4,41.86,12.44,0.93,2025-09-19 12:06:01.279509
group 4,41.61,12.4,-0.51,2025-09-19 12:06:02.279481
group 4,41.51,13.24,0.93,2025-09-19 12:06:04.280801
group 4,41.36,13.56,-0.15,2025-09-19 12:06:05.281078
group 4,41.06,13.69,-0.98,2025-09-19 12:06:06.281154
group 4,41.06,13.69,-0.98,2025-09-19 12:06:07.280474
group 4,36.66,9.91,1.21,2025-09-19 12:55:59.580058
group 4,37.4,10.79,-0.22,2025-09-19 12:56:00.583509
group 4,38.07,11.42,0.79,2025-09-19 12:56:02.579441
group 4,38.54,11.87,-0.45,2025-09-19 12:56:03.583792
group 4,38.95,12.54,0.79,2025-09-19 12:56:06.580076
group 4,39.76,12.6,1.51,2025-09-19 12:56:10.579889
group 4,37.37,11.79,1.56,2025-09-19 13:14:32.279252
group 4,34.55,11.39,0.6,2025-09-19 13:14:35.279355
group 4,35.52,11.07,-1.5,2025-09-19 13:14:42.2776
group 4,36.49,10.67,-2.09,2025-09-19 13:14:46.277609
group 4,37.22,10.16,-0.21,2025-09-19 13:14:47.277782
group 4,37.82,9.78,0.99,2025-09-19 13:14:48.279355
group 4,38.19,9.47,-0.72,2025-09-19 13:14:49.279118
group 4,38.31,9.23,-2.02,2025-09-19 13:14:50.279187
group 4,38.72,9.77,0.29,2025-09-19 13:14:51.279006
group 4,39.51,9.62,-1.05,2025-09-19 13:14:52.279447
group 4,39.56,9.63,-1.87,2025-09-19 13:14:53.279468
group 4,39.78,9.57,-2.45,2025-09-19 13:14:54.286664
group 4,39.96,9.49,-2.71,2025-09-19 13:14:55.279256
group 4,40.14,9.45,-2.98,2025-09-19 13:14:56.278858
group 4,40.21,9.43,-3.2,2025-09-19 13:14:57.277562
group 4,39.52,9.77,-3.96,2025-09-19 13:14:58.277928
group 4,39.73,9.62,-1.98,2025-09-19 13:15:01.282325
group 4,39.84,9.56,-2.46,2025-09-19 13:15:02.278505
group 4,39.97,9.5,-2.77,2025-09-19 13:15:03.2793
group 4,40.03,9.48,-3.04,2025-09-19 13:15:04.279469
group 4,40.05,9.42,-3.38,2025-09-19 13:15:05.27935
group 4,40.04,9.32,-3.7,2025-09-19 13:15:06.279954
group 4,40.02,9.37,-3.78,2025-09-19 13:15:07.279962
group 4,39.91,9.48,-3.92,2025-09-19 13:15:08.279475
