name,x,y,z,time
Group 6,39.86,13.09,-1.69,2025-07-11 12:50:27.689716
Group 6,39.89,13.11,-2.04,2025-07-11 12:50:28.250457
Group 6,39.91,13.13,-2.31,2025-07-11 12:50:29.250867
Group 6,40.17,13.19,-0.87,2025-07-11 12:50:30.256643
Group 6,40.19,13.25,-1.52,2025-07-11 12:50:32.2633
Group 6,40.6,13.33,-2.95,2025-07-11 12:50:37.257889
Group 6,40.64,13.39,-3.15,2025-07-11 12:50:38.252883
Group 6,40.64,13.35,-3.22,2025-07-11 12:50:39.272986
Group 6,40.51,13.32,-3.24,2025-07-11 12:50:40.250711
Group 6,40.42,13.29,-3.24,2025-07-11 12:50:41.257102
Group 6,40.36,13.26,-3.24,2025-07-11 12:50:43.256273
Group 6,40.29,13.22,-3.37,2025-07-11 12:50:44.264244
Group 6,40.27,13.19,-3.5,2025-07-11 12:50:45.257057
Group 6,40.33,13.23,-3.51,2025-07-11 12:50:46.258733
Group 6,40.47,13.24,-3.52,2025-07-11 12:50:47.250029
Group 6,40.54,13.16,-3.69,2025-07-11 12:50:48.250122
Group 6,40.52,13.13,-3.75,2025-07-11 12:50:49.250901
Group 6,40.44,13.12,-3.74,2025-07-11 12:50:50.256829
Group 6,40.54,13.14,-3.8,2025-07-11 12:50:51.257959
Group 6,40.62,13.15,-3.82,2025-07-11 12:50:52.260343
Group 6,40.58,13.12,-3.89,2025-07-11 12:50:54.258272
Group 6,40.78,13.09,-3.99,2025-07-11 12:50:55.258435
Group 6,40.56,13.09,-3.85,2025-07-11 12:50:56.263587
Group 6,40.62,13.13,-3.75,2025-07-11 12:50:57.250204
Group 6,40.42,13.13,-3.68,2025-07-11 12:50:58.250046
Group 6,40.36,13.17,-3.55,2025-07-11 12:50:59.263661
Group 6,40.3,13.2,-3.51,2025-07-11 12:51:00.269223
Group 6,40.4,13.2,-3.54,2025-07-11 12:51:02.257875
Group 6,39.74,12.95,-3.76,2025-07-11 12:51:07.257979
Group 6,39.75,12.99,-3.72,2025-07-11 12:51:08.253443
Group 6,39.84,13.06,-3.62,2025-07-11 12:51:09.250635
Group 6,39.97,13.13,-3.57,2025-07-11 12:51:10.260333
Group 6,40.02,13.16,-3.55,2025-07-11 12:51:11.263194
Group 6,40.0,13.14,-3.56,2025-07-11 12:51:12.261079
Group 6,40.07,13.16,-3.55,2025-07-11 12:51:13.262228
Group 6,40.06,13.08,-3.71,2025-07-11 12:51:14.250431
Group 6,40.24,13.14,-3.65,2025-07-11 12:51:15.257726
Group 6,40.17,13.08,-3.72,2025-07-11 12:51:16.258618
Group 6,40.35,13.14,-3.62,2025-07-11 12:51:17.263592
Group 6,40.55,13.19,-3.52,2025-07-11 12:51:18.256604
Group 6,40.65,13.23,-3.51,2025-07-11 12:51:19.254544
Group 6,40.72,13.25,-3.49,2025-07-11 12:51:20.249913
Group 6,40.63,13.22,-3.57,2025-07-11 12:51:21.250432
Group 6,40.87,13.31,-3.61,2025-07-11 12:51:22.250726
Group 6,40.71,13.23,-3.72,2025-07-11 12:51:23.251215
Group 6,40.68,13.24,-3.66,2025-07-11 12:51:24.250418
Group 6,40.54,13.14,-3.8,2025-07-11 12:51:26.251307
Group 6,40.33,13.05,-3.87,2025-07-11 12:51:27.250636
Group 6,40.16,12.99,-3.93,2025-07-11 12:51:28.249907
Group 6,40.25,13.04,-3.87,2025-07-11 12:51:29.250349
Group 6,40.3,13.07,-3.87,2025-07-11 12:51:30.257748
Group 6,40.3,13.07,-3.81,2025-07-11 12:51:31.249823
Group 6,40.34,13.11,-3.76,2025-07-11 12:51:32.257815
Group 6,40.4,13.15,-3.91,2025-07-11 12:51:33.250425
Group 6,40.77,13.22,-3.84,2025-07-11 12:51:34.258342
