name,x,y,time
Group 6,40.48,14.64,2025-09-19 12:01:31.712283
Group 6,40.49,14.4,2025-09-19 12:01:35.283465
Group 6,40.61,14.48,2025-09-19 12:01:45.292191
Group 6,40.55,14.29,2025-09-19 12:01:53.285249
Group 6,40.53,14.15,2025-09-19 12:01:55.28437
Group 6,40.58,14.2,2025-09-19 12:02:02.282127
Group 6,40.62,14.79,2025-09-19 12:02:04.282043
Group 6,41.2,13.81,2025-09-19 12:02:10.281454
Group 6,41.54,13.15,2025-09-19 12:02:11.282145
Group 6,41.74,12.67,2025-09-19 12:02:12.281455
Group 6,41.58,12.47,2025-09-19 12:02:14.328692
Group 6,41.42,12.34,2025-09-19 12:02:15.281439
Group 6,41.58,12.12,2025-09-19 12:02:19.288751
Group 6,34.6,5.54,2025-09-19 12:02:27.381095
Group 6,36.05,5.71,2025-09-19 12:02:28.381163
Group 6,36.4,4.84,2025-09-19 12:02:33.581214
Group 6,37.7,4.93,2025-09-19 12:02:34.58116
Group 6,38.92,4.86,2025-09-19 12:02:36.581229
Group 6,39.5,5.02,2025-09-19 12:02:38.581074
Group 6,39.93,5.19,2025-09-19 12:02:39.581196
Group 6,40.31,5.14,2025-09-19 12:02:40.581096
Group 6,40.67,5.07,2025-09-19 12:02:41.581135
Group 6,41.03,4.96,2025-09-19 12:02:42.581125
Group 6,41.04,4.95,2025-09-19 12:02:44.581092
Group 6,41.05,5.03,2025-09-19 12:02:45.58132
Group 6,41.43,4.95,2025-09-19 12:02:46.581067
Group 6,41.5,5.0,2025-09-19 12:02:47.581217
Group 6,41.54,5.06,2025-09-19 12:02:49.581147
Group 6,41.79,4.96,2025-09-19 12:02:50.581119
Group 6,41.63,4.99,2025-09-19 12:02:51.583988
Group 6,41.79,4.93,2025-09-19 12:02:55.583378
Group 6,41.44,4.99,2025-09-19 12:03:14.581315
Group 6,41.79,4.92,2025-09-19 12:03:23.581409
Group 6,41.71,5.01,2025-09-19 12:03:32.581081
Group 6,41.58,5.12,2025-09-19 12:03:33.581414
Group 6,41.35,5.21,2025-09-19 12:03:34.581356
Group 6,41.32,5.24,2025-09-19 12:03:35.581344
Group 6,41.2,5.28,2025-09-19 12:03:37.58139
Group 6,41.2,5.31,2025-09-19 12:03:38.579648
Group 6,41.31,5.19,2025-09-19 12:03:39.581336
Group 6,41.28,5.31,2025-09-19 12:03:40.581268
Group 6,41.22,5.31,2025-09-19 12:03:42.581296
Group 6,40.7,5.29,2025-09-19 12:03:44.58126
Group 6,40.25,5.21,2025-09-19 12:03:46.583624
Group 6,40.06,5.35,2025-09-19 12:03:47.580743
Group 6,40.12,5.41,2025-09-19 12:04:00.581151
Group 6,40.56,5.8,2025-09-19 12:04:01.579537
Group 6,40.95,5.57,2025-09-19 12:04:11.581197
Group 6,41.02,5.54,2025-09-19 12:04:12.579474
Group 6,40.99,5.49,2025-09-19 12:04:15.579642
Group 6,41.28,5.34,2025-09-19 12:04:16.582031
Group 6,41.25,5.29,2025-09-19 12:04:17.579715
Group 6,41.29,5.34,2025-09-19 12:04:18.581172
Group 6,41.41,5.26,2025-09-19 12:04:19.581322
Group 6,41.57,5.18,2025-09-19 12:04:23.579619
Group 6,41.77,5.0,2025-09-19 12:04:24.581191
Group 6,41.58,5.12,2025-09-19 12:04:26.581186
Group 6,41.81,4.95,2025-09-19 12:04:31.58158
Group 6,41.96,4.8,2025-09-19 12:04:32.58218
Group 6,41.76,4.95,2025-09-19 12:04:33.581545
Group 6,41.56,4.96,2025-09-19 12:04:34.581525
Group 6,41.53,5.06,2025-09-19 12:04:35.581978
Group 6,41.45,5.19,2025-09-19 12:04:37.579628
Group 6,41.46,5.07,2025-09-19 12:04:38.581485
Group 6,41.49,5.04,2025-09-19 12:04:39.58147
Group 6,41.64,5.08,2025-09-19 12:04:40.581211
Group 6,41.46,5.16,2025-09-19 12:04:42.579615
Group 6,40.46,5.17,2025-09-19 12:04:47.579607
Group 6,40.89,5.54,2025-09-19 12:04:58.57959
Group 6,40.82,7.74,2025-09-19 12:05:06.57956
Group 6,40.77,9.55,2025-09-19 12:05:30.579668
Group 6,40.74,10.91,2025-09-19 12:05:33.581167
Group 6,41.01,11.8,2025-09-19 12:06:02.579666
Group 6,41.16,12.84,2025-09-19 12:06:03.583602
Group 6,40.94,13.32,2025-09-19 12:06:05.580901
Group 6,40.65,13.26,2025-09-19 12:06:10.57968
Group 6,40.46,13.23,2025-09-19 12:06:11.579641
Group 6,40.34,13.2,2025-09-19 12:06:12.579584
Group 6,40.06,13.21,2025-09-19 12:06:13.58082
Group 6,39.94,13.22,2025-09-19 12:06:14.579534
Group 6,39.92,13.21,2025-09-19 12:06:15.579665
Group 6,39.94,13.17,2025-09-19 12:06:16.579765
Group 6,39.92,13.19,2025-09-19 12:06:17.579634
Group 6,39.94,13.2,2025-09-19 12:06:18.57952
Group 6,40.01,13.17,2025-09-19 12:06:19.580719
Group 6,39.94,13.15,2025-09-19 12:06:20.580823
Group 6,39.96,13.17,2025-09-19 12:06:21.580726
Group 6,39.87,13.16,2025-09-19 12:06:22.580695
Group 6,39.89,13.19,2025-09-19 12:06:23.57962
Group 6,39.93,13.22,2025-09-19 12:06:24.579616
Group 6,39.95,13.21,2025-09-19 12:06:25.579605
Group 6,39.87,13.24,2025-09-19 12:06:27.579988
Group 6,39.88,13.21,2025-09-19 12:06:28.580777
Group 6,39.85,13.21,2025-09-19 12:06:29.579641
Group 6,39.91,13.21,2025-09-19 12:06:30.579748
Group 6,39.91,13.22,2025-09-19 12:06:31.579551
Group 6,35.78,8.57,2025-09-19 12:56:03.578489
Group 6,37.37,10.18,2025-09-19 12:56:10.593137
Group 6,36.86,10.1,2025-09-19 12:56:13.582776
Group 6,36.64,10.07,2025-09-19 12:56:15.582016
Group 6,36.64,10.07,2025-09-19 13:14:24.848988
Group 6,35.25,9.99,2025-09-19 13:14:38.577611
Group 6,33.26,9.65,2025-09-19 13:14:40.57764
Group 6,32.58,9.45,2025-09-19 13:14:41.577605
Group 6,32.08,9.3,2025-09-19 13:14:42.577532
Group 6,31.44,9.17,2025-09-19 13:14:44.577604
Group 6,31.42,9.16,2025-09-19 13:14:45.577576
Group 6,31.37,9.15,2025-09-19 13:14:46.577662
Group 6,31.36,9.13,2025-09-19 13:14:47.578305
Group 6,31.36,9.13,2025-09-19 13:14:48.582944
Group 6,31.38,9.18,2025-09-19 13:14:49.578931
Group 6,31.55,9.14,2025-09-19 13:14:50.578854
Group 6,31.72,9.1,2025-09-19 13:14:53.578821
Group 6,31.87,9.1,2025-09-19 13:14:54.578276
Group 6,31.85,9.1,2025-09-19 13:14:55.577682
Group 6,31.97,9.2,2025-09-19 13:14:56.577486
Group 6,31.17,9.3,2025-09-19 13:14:59.577519
Group 6,31.47,9.38,2025-09-19 13:15:01.577631
Group 6,31.52,9.37,2025-09-19 13:15:02.57888
Group 6,31.6,9.37,2025-09-19 13:15:03.577627
Group 6,31.62,9.37,2025-09-19 13:15:04.577463
Group 6,31.65,9.38,2025-09-19 13:15:05.577593
Group 6,31.62,9.48,2025-09-19 13:15:07.577757
Group 6,31.14,9.53,2025-09-19 13:15:09.577665
Group 6,31.62,9.65,2025-09-19 13:36:21.678371
Group 6,32.56,12.57,2025-09-19 13:36:28.677021
Group 6,33.22,14.73,2025-09-19 13:36:29.681496
Group 6,33.63,14.54,2025-09-19 13:36:30.67779
Group 6,33.83,14.29,2025-09-19 13:36:32.678131
Group 6,33.59,14.15,2025-09-19 13:36:34.678045
Group 6,33.41,14.04,2025-09-19 13:36:35.67883
Group 6,33.36,13.92,2025-09-19 13:36:36.677774
Group 6,32.79,13.78,2025-09-19 13:36:37.678524
Group 6,32.71,13.72,2025-09-19 13:36:38.677471
Group 6,32.45,13.68,2025-09-19 13:36:39.678913
Group 6,32.23,13.77,2025-09-19 13:36:41.677434
Group 6,32.09,13.71,2025-09-19 13:36:42.677418
Group 6,31.94,13.65,2025-09-19 13:36:43.680228
Group 6,31.73,13.62,2025-09-19 13:36:44.677287
Group 6,31.31,13.6,2025-09-19 13:36:45.677238
Group 6,31.14,13.59,2025-09-19 13:36:46.678171
Group 6,31.15,13.58,2025-09-19 13:36:47.68874
Group 6,31.67,13.54,2025-09-19 13:36:48.677573
Group 6,31.86,13.53,2025-09-19 13:36:49.677065
Group 6,32.04,13.38,2025-09-19 13:36:51.679383
Group 6,31.72,13.41,2025-09-19 13:36:52.677606
Group 6,31.71,13.42,2025-09-19 13:36:54.678137
Group 6,31.64,13.43,2025-09-19 13:36:55.677385
Group 6,31.84,13.43,2025-09-19 13:36:57.678724
Group 6,31.96,13.42,2025-09-19 13:37:05.679741
Group 6,31.93,13.44,2025-09-19 13:37:09.685611
Group 6,32.24,13.45,2025-09-19 13:37:10.678416
Group 6,32.12,13.46,2025-09-19 13:37:11.683848
Group 6,32.65,13.42,2025-09-19 13:37:12.678636
Group 6,33.06,13.39,2025-09-19 13:37:13.677987
Group 6,32.09,13.4,2025-09-19 13:37:14.678703
Group 6,32.68,13.33,2025-09-19 13:37:16.680597
Group 6,32.98,13.42,2025-09-19 13:37:19.683178
Group 6,32.83,13.42,2025-09-19 13:37:20.683129
Group 6,31.99,13.47,2025-09-19 13:37:21.678874
Group 6,31.82,13.47,2025-09-19 13:37:23.680898
Group 6,31.69,13.51,2025-09-19 13:37:24.677838
Group 6,32.31,13.44,2025-09-19 13:37:25.678296
Group 6,32.46,13.41,2025-09-19 13:37:26.67964
Group 6,32.37,13.41,2025-09-19 13:37:27.677738
Group 6,32.07,13.43,2025-09-19 13:37:30.68099
Group 6,32.36,13.4,2025-09-19 13:37:31.677916
Group 6,32.05,13.43,2025-09-19 13:37:32.677867
Group 6,32.1,13.42,2025-09-19 13:37:33.683229
Group 6,32.27,13.41,2025-09-19 13:37:34.683014
Group 6,32.29,13.4,2025-09-19 13:37:35.723681
Group 6,32.03,13.42,2025-09-19 13:37:36.677717
Group 6,32.66,13.39,2025-09-19 13:37:37.68432
Group 6,33.06,13.36,2025-09-19 13:37:40.074229
Group 6,32.7,13.39,2025-09-19 13:37:41.677671
Group 6,32.72,13.39,2025-09-19 13:37:42.677535
Group 6,32.89,13.38,2025-09-19 13:37:43.677312
Group 6,33.01,13.37,2025-09-19 13:37:44.67713
Group 6,32.9,13.37,2025-09-19 13:37:45.677347
Group 6,33.01,13.36,2025-09-19 13:37:46.686337
Group 6,32.88,13.36,2025-09-19 13:37:47.677249
Group 6,32.92,13.37,2025-09-19 13:37:48.683621
Group 6,32.04,13.43,2025-09-19 13:37:49.677197
Group 6,31.98,13.43,2025-09-19 13:37:50.684787
Group 6,32.11,13.42,2025-09-19 13:37:51.677646
Group 6,32.23,13.42,2025-09-19 13:37:52.68558
Group 6,32.08,13.43,2025-09-19 13:37:53.68366
Group 6,32.21,13.41,2025-09-19 13:37:54.677586
Group 6,32.14,13.4,2025-09-19 13:37:55.677675
Group 6,31.64,13.42,2025-09-19 13:37:56.68319
Group 6,31.7,13.42,2025-09-19 13:37:57.683371
Group 6,32.1,13.4,2025-09-19 13:37:58.683425
Group 6,32.77,13.37,2025-09-19 13:37:59.677043
Group 6,33.19,13.35,2025-09-19 13:38:02.677022
Group 6,33.39,13.34,2025-09-19 13:38:04.676978
Group 6,33.53,13.34,2025-09-19 13:38:05.723904
Group 6,33.68,13.34,2025-09-19 13:38:07.677035
Group 6,33.65,13.32,2025-09-19 13:38:08.677346
Group 6,33.32,13.35,2025-09-19 13:38:09.677314
Group 6,33.07,13.34,2025-09-19 13:38:11.677015
Group 6,32.98,13.38,2025-09-19 13:38:12.677307
Group 6,32.89,13.38,2025-09-19 13:38:13.677264
Group 6,32.62,13.41,2025-09-19 13:38:16.676953
Group 6,32.56,13.45,2025-09-19 13:38:17.723842
Group 6,32.89,13.45,2025-09-19 13:38:19.677191
Group 6,32.94,13.42,2025-09-19 13:38:23.677236
Group 6,33.04,13.4,2025-09-19 13:38:24.677136
Group 6,32.71,13.36,2025-09-19 13:38:28.681884
Group 6,33.05,13.4,2025-09-19 13:38:29.677427
Group 6,32.91,13.39,2025-09-19 13:38:30.681669
Group 6,32.47,13.38,2025-09-19 13:38:32.677109
Group 6,32.2,13.43,2025-09-19 13:38:34.67939
Group 6,31.63,13.5,2025-09-19 13:38:35.678053
Group 6,31.59,13.52,2025-09-19 13:38:36.683261
Group 6,30.72,13.58,2025-09-19 13:38:37.677306
Group 6,30.51,13.59,2025-09-19 13:38:38.681933
Group 6,30.76,13.55,2025-09-19 13:38:39.678058
Group 6,30.46,13.51,2025-09-19 13:38:41.677268
Group 6,30.17,13.49,2025-09-19 13:38:42.677106
Group 6,29.94,13.5,2025-09-19 13:38:44.679049
Group 6,30.92,13.47,2025-09-19 13:38:49.67716
Group 6,31.82,13.44,2025-09-19 13:38:52.677146
Group 6,32.47,13.36,2025-09-19 13:38:53.676951
Group 6,33.02,13.23,2025-09-19 13:38:54.724166
Group 6,33.5,13.1,2025-09-19 13:38:56.677204
Group 6,33.94,13.13,2025-09-19 13:38:59.677052
Group 6,34.04,13.16,2025-09-19 13:39:01.677223
Group 6,34.57,13.05,2025-09-19 13:39:04.677164
Group 6,34.5,13.11,2025-09-19 13:39:07.723866
Group 6,34.44,13.13,2025-09-19 13:39:08.677328
Group 6,34.21,13.17,2025-09-19 13:39:10.677098
Group 6,34.19,13.2,2025-09-19 13:39:11.676976
Group 6,34.27,13.19,2025-09-19 13:39:12.677014
Group 6,34.48,13.22,2025-09-19 13:39:13.723979
Group 6,34.36,13.23,2025-09-19 13:39:14.67743
Group 6,34.53,13.25,2025-09-19 13:39:15.677716
Group 6,34.47,13.26,2025-09-19 13:39:16.678292
Group 6,34.4,13.28,2025-09-19 13:39:18.67721
Group 6,34.44,13.27,2025-09-19 13:39:19.677087
Group 6,34.41,13.28,2025-09-19 13:39:21.682473
Group 6,34.14,13.28,2025-09-19 13:39:22.677018
Group 6,34.22,13.27,2025-09-19 13:39:23.67761
Group 6,34.36,13.24,2025-09-19 13:39:24.681952
Group 6,34.42,13.23,2025-09-19 13:39:28.677761
Group 6,34.62,13.23,2025-09-19 13:39:32.677
Group 6,34.74,13.22,2025-09-19 13:39:33.677147
Group 6,34.89,13.21,2025-09-19 13:39:35.676931
Group 6,34.95,13.21,2025-09-19 13:39:36.677113
Group 6,34.81,13.21,2025-09-19 13:39:37.677082
Group 6,34.56,13.21,2025-09-19 13:39:39.677358
Group 6,34.69,13.2,2025-09-19 13:39:43.677063
Group 6,34.56,13.22,2025-09-19 13:39:44.677043
Group 6,34.76,13.19,2025-09-19 13:39:48.677125
Group 6,34.57,13.21,2025-09-19 13:39:51.677027
Group 6,34.55,13.21,2025-09-19 13:39:52.677022
Group 6,33.77,13.25,2025-09-19 13:39:53.677441
Group 6,33.72,13.26,2025-09-19 13:39:54.677318
