name,x,y,z,time
Group 5,40.52,15.19,-3.17,2025-09-19 12:02:00.68119
Group 5,40.3,15.08,-0.99,2025-09-19 12:02:02.681189
Group 5,40.46,14.83,0.27,2025-09-19 12:02:04.68117
Group 5,42.09,11.43,1.08,2025-09-19 12:02:15.181459
Group 5,41.87,11.57,-0.21,2025-09-19 12:02:22.181415
Group 5,41.88,10.4,1.2,2025-09-19 12:04:58.227659
Group 5,41.82,10.01,2.28,2025-09-19 12:05:00.188146
Group 5,41.91,9.82,0.89,2025-09-19 12:05:01.190032
Group 5,41.86,11.27,2.2,2025-09-19 12:05:04.183651
Group 5,41.57,12.73,3.15,2025-09-19 12:05:06.179551
Group 5,41.44,13.62,3.84,2025-09-19 12:05:13.18869
Group 5,41.29,14.4,1.37,2025-09-19 12:05:14.188326
Group 5,41.58,14.34,0.14,2025-09-19 12:05:15.188679
Group 5,41.47,14.91,-1.3,2025-09-19 12:05:16.186042
Group 5,41.37,15.4,-2.43,2025-09-19 12:05:17.184814
Group 5,41.52,15.63,-0.44,2025-09-19 12:05:19.18845
Group 5,41.73,15.76,-1.65,2025-09-19 12:05:20.186073
Group 5,41.61,16.04,-2.7,2025-09-19 12:05:21.17968
Group 5,41.66,16.15,-0.61,2025-09-19 12:05:24.188342
Group 5,41.56,16.15,0.93,2025-09-19 12:05:26.184874
Group 5,41.37,15.8,-0.41,2025-09-19 12:05:30.185015
Group 5,41.33,15.51,-1.48,2025-09-19 12:05:31.193418
Group 5,41.17,15.65,-2.53,2025-09-19 12:05:32.179583
Group 5,41.08,15.34,-2.93,2025-09-19 12:05:33.187397
Group 5,41.21,15.09,-0.84,2025-09-19 12:05:35.181083
Group 5,41.19,15.11,-2.09,2025-09-19 12:05:36.185547
Group 5,41.58,14.94,-2.6,2025-09-19 12:05:41.184936
Group 5,41.37,15.01,-0.66,2025-09-19 12:05:44.187129
Group 5,41.42,14.29,-1.64,2025-09-19 12:05:55.181345
Group 5,41.82,13.47,-1.32,2025-09-19 12:05:57.181348
