name,x,y,z,time
Group 2,40.06,13.06,-3.06,2025-07-11 12:50:27.638431
Group 2,40.3,13.13,-3.3,2025-07-11 12:50:27.954998
Group 2,40.22,13.15,-3.42,2025-07-11 12:50:28.960863
Group 2,40.16,13.18,-3.44,2025-07-11 12:50:29.953109
Group 2,40.43,13.22,-3.55,2025-07-11 12:50:30.950484
Group 2,40.47,13.26,-3.64,2025-07-11 12:50:31.950103
Group 2,40.22,13.29,-3.67,2025-07-11 12:50:36.953457
Group 2,40.14,13.26,-3.65,2025-07-11 12:50:37.949715
Group 2,40.4,13.28,-3.77,2025-07-11 12:50:38.951932
Group 2,40.52,13.35,-3.78,2025-07-11 12:50:39.951176
Group 2,40.46,13.46,-3.76,2025-07-11 12:50:40.949748
Group 2,40.34,13.33,-3.95,2025-07-11 12:50:41.950467
Group 2,40.41,13.37,-3.98,2025-07-11 12:50:42.954517
Group 2,40.51,13.39,-3.84,2025-07-11 12:50:43.95225
Group 2,40.28,13.34,-3.85,2025-07-11 12:50:44.950189
Group 2,40.17,13.38,-3.93,2025-07-11 12:50:45.949946
Group 2,40.14,13.3,-1.93,2025-07-11 12:50:46.953432
Group 2,40.06,13.34,-0.41,2025-07-11 12:50:47.949925
Group 2,40.43,13.52,0.75,2025-07-11 12:50:48.950339
Group 2,40.53,13.46,1.4,2025-07-11 12:50:49.462684
Group 2,40.55,13.33,-0.02,2025-07-11 12:50:49.949831
Group 2,40.57,13.27,-1.02,2025-07-11 12:50:50.459905
Group 2,40.56,13.29,-1.57,2025-07-11 12:50:50.950023
Group 2,40.48,13.39,-2.12,2025-07-11 12:50:51.451745
Group 2,40.43,13.37,-2.36,2025-07-11 12:50:51.950126
Group 2,40.42,13.36,-2.59,2025-07-11 12:50:52.45122
Group 2,40.42,13.37,-2.81,2025-07-11 12:50:53.457599
Group 2,40.4,13.33,-2.9,2025-07-11 12:50:54.456381
Group 2,40.22,13.45,-3.11,2025-07-11 12:50:55.456999
Group 2,40.31,13.41,-1.49,2025-07-11 12:50:56.457651
Group 2,40.33,13.45,-0.33,2025-07-11 12:50:57.476237
Group 2,40.27,13.56,-0.96,2025-07-11 12:50:58.458525
Group 2,40.94,13.7,-1.53,2025-07-11 12:51:00.450871
Group 2,41.34,13.94,-1.93,2025-07-11 12:51:07.45742
Group 2,41.41,13.99,-2.34,2025-07-11 12:51:08.459597
Group 2,41.05,13.86,-2.64,2025-07-11 12:51:09.458191
Group 2,40.91,13.86,-2.68,2025-07-11 12:51:10.456764
Group 2,40.96,13.89,-2.76,2025-07-11 12:51:11.457499
Group 2,40.6,13.92,-2.91,2025-07-11 12:51:11.960242
Group 2,40.46,13.93,-2.91,2025-07-11 12:51:12.464272
Group 2,40.6,13.98,-1.35,2025-07-11 12:51:12.950634
Group 2,40.81,14.02,-0.31,2025-07-11 12:51:13.456582
Group 2,41.19,14.13,-0.94,2025-07-11 12:51:13.950501
Group 2,41.47,14.21,-1.45,2025-07-11 12:51:14.460838
Group 2,41.68,14.27,-1.82,2025-07-11 12:51:14.951256
Group 2,41.56,14.18,-2.18,2025-07-11 12:51:15.949962
Group 2,41.31,13.7,-2.32,2025-07-11 12:51:16.950391
Group 2,41.21,13.0,-2.41,2025-07-11 12:51:17.95102
Group 2,41.46,12.43,-2.46,2025-07-11 12:51:18.95011
Group 2,41.34,12.24,-2.5,2025-07-11 12:51:19.949858
Group 2,41.34,12.09,-2.55,2025-07-11 12:51:20.950095
Group 2,41.94,11.73,-2.34,2025-07-11 12:51:21.950392
Group 2,41.99,11.06,-1.19,2025-07-11 12:51:22.949804
Group 2,41.92,9.83,-0.28,2025-07-11 12:51:24.949918
Group 2,41.81,8.67,0.24,2025-07-11 12:51:25.453418
Group 2,41.78,7.76,-0.27,2025-07-11 12:51:25.950396
Group 2,41.86,7.08,-0.72,2025-07-11 12:51:26.44993
Group 2,41.78,6.56,-0.95,2025-07-11 12:51:26.95331
Group 2,41.84,6.19,-1.19,2025-07-11 12:51:27.462449
Group 2,41.86,5.82,-1.41,2025-07-11 12:51:27.949971
Group 2,41.84,5.66,-1.52,2025-07-11 12:51:28.451553
Group 2,41.89,5.53,-1.62,2025-07-11 12:51:29.457174
Group 2,41.84,5.52,-1.74,2025-07-11 12:51:30.450077
Group 2,41.72,5.79,-1.86,2025-07-11 12:51:31.462203
Group 2,41.5,6.33,-2.17,2025-07-11 12:51:32.456872
Group 2,41.46,6.98,-2.25,2025-07-11 12:51:33.450749
Group 2,41.42,7.82,-2.41,2025-07-11 12:51:34.457245
Group 2,41.32,8.92,-2.47,2025-07-11 12:51:35.459911
Group 2,41.27,10.0,-1.1,2025-07-11 12:51:35.953457
Group 2,41.22,10.82,-0.13,2025-07-11 12:51:36.450552
Group 2,41.23,11.43,0.64,2025-07-11 12:51:36.949951
Group 2,41.21,11.89,1.22,2025-07-11 12:51:37.452269
Group 2,41.6,13.13,-2.37,2025-07-11 12:51:42.954184
Group 2,41.47,13.17,-2.5,2025-07-11 12:51:43.949728
Group 2,41.26,13.24,-2.8,2025-07-11 12:51:48.95409
Group 2,41.07,13.16,-2.98,2025-07-11 12:51:49.949993
Group 2,41.1,13.18,-2.95,2025-07-11 12:51:50.950344
Group 2,41.09,13.21,-2.94,2025-07-11 12:51:51.950394
Group 2,41.05,13.21,-2.91,2025-07-11 12:51:52.950271
Group 2,41.06,13.21,-2.89,2025-07-11 12:51:53.95069
Group 2,41.16,13.22,-2.92,2025-07-11 12:51:54.94985
Group 2,41.14,13.21,-2.9,2025-07-11 12:51:55.949765
Group 2,41.23,13.23,-2.93,2025-07-11 12:51:56.950528
Group 2,41.29,13.23,-2.95,2025-07-11 12:51:57.95004
Group 2,41.34,13.24,-2.93,2025-07-11 12:51:58.950738
Group 2,41.31,13.24,-2.93,2025-07-11 12:51:59.952453
Group 2,41.35,13.25,-2.94,2025-07-11 12:52:00.949731
Group 2,41.29,13.26,-2.93,2025-07-11 12:52:01.94981
Group 2,41.21,13.24,-2.95,2025-07-11 12:52:02.950004
Group 2,41.02,13.21,-2.96,2025-07-11 12:52:07.950166
Group 2,40.99,13.21,-2.95,2025-07-11 12:52:08.955257
Group 2,40.99,13.21,-2.93,2025-07-11 12:52:09.95249
Group 2,41.0,13.19,-2.91,2025-07-11 12:52:10.950763
Group 2,41.06,13.17,-3.0,2025-07-11 12:52:11.950124
Group 2,41.11,13.19,-2.94,2025-07-11 12:52:12.952314
Group 2,41.08,13.21,-2.92,2025-07-11 12:52:13.950676
Group 2,41.08,13.23,-2.94,2025-07-11 12:52:14.950321
Group 2,41.04,13.22,-2.91,2025-07-11 12:52:15.950506
Group 2,41.01,13.28,-3.0,2025-07-11 12:52:16.950172
Group 2,41.01,13.28,-2.98,2025-07-11 12:52:17.950028
Group 2,41.02,13.27,-2.96,2025-07-11 12:52:18.949778
Group 2,41.04,13.27,-2.94,2025-07-11 12:52:19.952952
Group 2,41.11,13.28,-2.93,2025-07-11 12:52:20.950152
Group 2,41.12,13.27,-2.94,2025-07-11 12:52:21.949784
Group 2,41.08,13.27,-2.95,2025-07-11 12:52:22.94998
Group 2,41.09,13.26,-2.93,2025-07-11 12:52:23.949967
Group 2,41.06,13.26,-2.94,2025-07-11 12:52:24.949765
Group 2,41.04,13.24,-2.96,2025-07-11 12:52:25.949931
Group 2,41.01,13.23,-2.96,2025-07-11 12:52:26.950579
Group 2,40.94,13.19,-3.05,2025-07-11 12:52:27.950249
Group 2,40.95,13.2,-3.01,2025-07-11 12:52:28.950133
Group 2,40.94,13.2,-3.02,2025-07-11 12:52:29.950997
Group 2,40.93,13.2,-3.01,2025-07-11 12:52:30.9499
Group 2,40.92,13.2,-3.03,2025-07-11 12:52:31.949772
Group 2,41.0,13.2,-2.99,2025-07-11 12:52:32.950322
Group 2,41.22,13.23,-2.95,2025-07-11 12:52:33.950964
Group 2,41.15,13.21,-2.94,2025-07-11 12:52:34.949644
Group 2,41.03,13.13,-3.08,2025-07-11 12:52:35.950161
Group 2,40.98,13.15,-3.08,2025-07-11 12:52:36.450399
Group 2,41.26,13.39,-1.15,2025-07-11 12:52:41.501854
