name,x,y,z,time
Group 3,40.53,13.89,-3.93,2025-09-19 12:01:31.663443
Group 3,40.46,13.93,-4.12,2025-09-19 12:01:32.1825
Group 3,40.61,13.9,-4.04,2025-09-19 12:01:33.183439
Group 3,40.61,14.0,-4.13,2025-09-19 12:01:35.183422
Group 3,40.86,13.86,-3.83,2025-09-19 12:01:36.184325
Group 3,40.79,13.8,-1.95,2025-09-19 12:01:37.183359
Group 3,40.75,13.83,-0.45,2025-09-19 12:01:38.184247
Group 3,40.7,13.89,0.73,2025-09-19 12:01:39.183359
Group 3,40.66,13.93,1.62,2025-09-19 12:01:40.184001
Group 3,40.69,13.98,2.3,2025-09-19 12:01:41.183408
Group 3,40.68,13.95,2.72,2025-09-19 12:01:42.183419
Group 3,40.68,14.21,3.34,2025-09-19 12:01:43.183464
Group 3,40.6,14.18,1.47,2025-09-19 12:01:44.183821
Group 3,40.56,14.1,2.08,2025-09-19 12:01:45.183428
Group 3,40.63,14.01,2.5,2025-09-19 12:01:46.183353
Group 3,40.6,13.97,2.86,2025-09-19 12:01:47.18419
Group 3,40.57,13.97,3.16,2025-09-19 12:01:48.183475
Group 3,40.6,13.95,3.36,2025-09-19 12:01:49.183341
Group 3,40.67,13.9,3.4,2025-09-19 12:01:50.183348
Group 3,40.62,13.97,3.64,2025-09-19 12:01:51.183374
Group 3,40.59,13.9,3.74,2025-09-19 12:01:52.183474
Group 3,40.57,13.9,3.78,2025-09-19 12:01:53.18352
Group 3,40.61,13.89,3.79,2025-09-19 12:01:54.183546
Group 3,40.5,13.91,4.04,2025-09-19 12:01:55.183683
Group 3,40.51,13.91,4.07,2025-09-19 12:01:56.183516
Group 3,40.61,13.9,4.05,2025-09-19 12:01:57.183537
Group 3,40.59,13.94,4.08,2025-09-19 12:01:58.185115
Group 3,40.78,13.85,4.02,2025-09-19 12:01:59.181416
Group 3,40.69,13.89,4.04,2025-09-19 12:02:00.181346
Group 3,40.74,13.96,4.13,2025-09-19 12:02:01.181237
Group 3,40.48,14.19,4.52,2025-09-19 12:02:03.181185
Group 3,40.53,14.1,4.42,2025-09-19 12:02:04.181173
Group 3,40.39,14.06,4.38,2025-09-19 12:02:05.181724
Group 3,41.06,14.34,4.38,2025-09-19 12:02:06.181267
Group 3,41.3,14.19,4.14,2025-09-19 12:02:07.181305
Group 3,41.24,13.84,2.02,2025-09-19 12:02:08.181351
Group 3,41.64,11.84,0.17,2025-09-19 12:02:15.187948
Group 3,41.82,11.66,-0.01,2025-09-19 12:02:16.181325
Group 3,42.01,11.55,-0.25,2025-09-19 12:02:17.182297
Group 3,42.1,11.5,-0.29,2025-09-19 12:02:18.181939
Group 3,42.06,11.51,-0.72,2025-09-19 12:02:20.182211
Group 3,41.98,11.58,-1.25,2025-09-19 12:02:21.183792
Group 3,41.82,11.62,-1.76,2025-09-19 12:02:22.18864
Group 3,41.77,11.62,-2.2,2025-09-19 12:02:23.181301
Group 3,41.78,11.6,-2.37,2025-09-19 12:02:24.181258
Group 3,41.76,11.59,-2.57,2025-09-19 12:02:25.181986
Group 3,41.63,10.94,-2.98,2025-09-19 12:02:27.182166
Group 3,41.49,10.0,-3.46,2025-09-19 12:02:28.181155
Group 3,41.07,8.53,-4.23,2025-09-19 12:02:30.228706
Group 3,40.59,7.48,-1.36,2025-09-19 12:02:31.181963
Group 3,41.06,6.63,-1.24,2025-09-19 12:02:33.181178
Group 3,41.37,6.05,-0.64,2025-09-19 12:02:34.181247
Group 3,41.41,5.65,0.54,2025-09-19 12:02:35.181179
Group 3,41.46,5.36,1.37,2025-09-19 12:02:36.181312
Group 3,41.39,5.14,2.18,2025-09-19 12:02:37.182666
Group 3,41.19,4.92,2.99,2025-09-19 12:02:38.181102
Group 3,41.48,4.69,2.48,2025-09-19 12:02:39.181241
Group 3,41.62,4.59,2.53,2025-09-19 12:02:40.181282
Group 3,41.67,4.51,2.7,2025-09-19 12:02:41.181136
Group 3,41.65,4.5,3.01,2025-09-19 12:02:42.182835
Group 3,41.69,4.47,3.09,2025-09-19 12:02:43.181168
Group 3,41.85,4.43,2.61,2025-09-19 12:02:44.228559
Group 3,41.3,4.42,3.64,2025-09-19 12:02:45.181148
Group 3,41.5,4.38,3.3,2025-09-19 12:02:46.182026
Group 3,41.64,4.36,3.1,2025-09-19 12:02:47.179542
Group 3,41.62,4.36,3.32,2025-09-19 12:02:48.181135
Group 3,41.68,4.37,3.29,2025-09-19 12:02:49.181185
Group 3,41.7,4.35,3.27,2025-09-19 12:02:50.181054
Group 3,41.06,4.35,4.26,2025-09-19 12:02:51.181525
Group 3,40.79,4.35,4.8,2025-09-19 12:02:52.18487
Group 3,40.73,4.37,5.05,2025-09-19 12:02:53.18423
Group 3,41.01,4.36,4.54,2025-09-19 12:02:54.184532
Group 3,40.97,4.38,4.72,2025-09-19 12:02:55.183618
Group 3,41.36,4.29,3.7,2025-09-19 12:02:56.18109
Group 3,40.89,4.35,4.54,2025-09-19 12:02:57.18338
Group 3,40.56,4.4,5.12,2025-09-19 12:02:58.18434
Group 3,40.32,4.42,5.56,2025-09-19 12:02:59.1844
Group 3,40.23,4.43,5.79,2025-09-19 12:03:00.181106
Group 3,40.6,4.4,5.23,2025-09-19 12:03:01.18356
Group 3,40.95,4.36,4.58,2025-09-19 12:03:02.180678
Group 3,41.27,4.34,3.84,2025-09-19 12:03:03.182361
Group 3,41.42,4.34,3.63,2025-09-19 12:03:04.183251
Group 3,41.51,4.37,3.59,2025-09-19 12:03:05.228852
Group 3,41.58,4.38,3.49,2025-09-19 12:03:06.182436
Group 3,41.68,4.37,3.31,2025-09-19 12:03:07.182621
Group 3,41.73,4.38,3.23,2025-09-19 12:03:08.18231
Group 3,41.75,4.37,3.26,2025-09-19 12:03:09.181222
Group 3,41.82,4.36,3.06,2025-09-19 12:03:10.181386
Group 3,41.81,4.38,3.13,2025-09-19 12:03:11.181907
Group 3,41.79,4.41,1.43,2025-09-19 12:03:12.179678
Group 3,41.78,4.41,1.93,2025-09-19 12:03:13.182338
Group 3,41.61,4.42,2.65,2025-09-19 12:03:14.181488
Group 3,41.6,4.43,2.99,2025-09-19 12:03:15.182328
Group 3,41.66,4.4,3.06,2025-09-19 12:03:16.182253
Group 3,41.7,4.4,3.09,2025-09-19 12:03:17.228777
Group 3,41.71,4.41,3.17,2025-09-19 12:03:18.182499
Group 3,41.23,4.46,4.04,2025-09-19 12:03:19.181214
Group 3,40.92,4.47,4.63,2025-09-19 12:03:20.181939
Group 3,41.14,4.48,4.4,2025-09-19 12:03:21.181547
Group 3,41.11,4.44,4.54,2025-09-19 12:03:22.181151
Group 3,41.35,4.41,3.96,2025-09-19 12:03:23.181746
Group 3,41.48,4.39,3.76,2025-09-19 12:03:24.179561
Group 3,41.35,4.38,4.08,2025-09-19 12:03:25.182371
Group 3,41.54,4.35,3.64,2025-09-19 12:03:26.228571
Group 3,41.62,4.37,3.53,2025-09-19 12:03:27.228607
Group 3,41.8,4.34,2.98,2025-09-19 12:03:28.182258
Group 3,41.59,4.5,3.49,2025-09-19 12:03:29.182402
Group 3,41.72,4.44,3.17,2025-09-19 12:03:30.182017
Group 3,41.7,4.46,3.27,2025-09-19 12:03:31.181993
Group 3,41.62,4.5,3.53,2025-09-19 12:03:32.181996
Group 3,41.63,4.51,3.6,2025-09-19 12:03:33.181499
Group 3,41.66,4.51,3.59,2025-09-19 12:03:34.182452
Group 3,41.6,4.52,3.72,2025-09-19 12:03:35.182458
Group 3,41.69,4.51,3.56,2025-09-19 12:03:36.183957
Group 3,41.52,4.6,3.91,2025-09-19 12:03:37.183269
Group 3,41.62,4.54,3.66,2025-09-19 12:03:38.182584
Group 3,41.46,4.54,4.0,2025-09-19 12:03:39.182409
Group 3,40.9,4.57,4.83,2025-09-19 12:03:40.182312
Group 3,40.93,4.54,4.87,2025-09-19 12:03:41.182507
Group 3,40.51,4.74,5.47,2025-09-19 12:03:42.182476
Group 3,40.61,4.67,5.39,2025-09-19 12:03:43.182531
Group 3,41.02,4.58,4.47,2025-09-19 12:03:44.181323
Group 3,40.87,4.52,4.85,2025-09-19 12:03:45.181259
Group 3,41.21,4.37,4.09,2025-09-19 12:03:46.183565
Group 3,40.78,4.41,4.8,2025-09-19 12:03:47.183263
Group 3,40.52,4.45,5.29,2025-09-19 12:03:48.185162
Group 3,40.28,4.46,5.69,2025-09-19 12:03:49.183773
Group 3,40.1,4.43,5.99,2025-09-19 12:03:50.181068
Group 3,39.92,4.49,6.27,2025-09-19 12:03:51.183266
Group 3,40.06,4.39,6.12,2025-09-19 12:03:52.184228
Group 3,40.22,4.2,5.95,2025-09-19 12:03:53.181079
Group 3,39.31,4.44,6.71,2025-09-19 12:03:54.182065
Group 3,38.53,4.59,7.32,2025-09-19 12:03:55.181997
Group 3,39.34,4.35,6.32,2025-09-19 12:03:56.182032
Group 3,39.62,4.4,6.18,2025-09-19 12:03:57.182215
Group 3,39.93,4.47,3.41,2025-09-19 12:04:00.228723
Group 3,40.53,4.33,3.29,2025-09-19 12:04:01.179539
Group 3,40.75,4.46,3.63,2025-09-19 12:04:02.228735
Group 3,41.17,4.38,2.98,2025-09-19 12:04:03.182102
Group 3,41.08,4.48,3.55,2025-09-19 12:04:04.228656
Group 3,41.06,4.61,3.89,2025-09-19 12:04:05.181063
Group 3,41.08,4.65,4.06,2025-09-19 12:04:06.182047
Group 3,40.82,4.75,4.6,2025-09-19 12:04:07.182207
Group 3,40.81,4.82,4.77,2025-09-19 12:04:08.182065
Group 3,40.86,4.85,4.82,2025-09-19 12:04:09.228852
Group 3,40.85,4.91,4.91,2025-09-19 12:04:10.228725
Group 3,40.82,4.95,5.02,2025-09-19 12:04:11.228798
Group 3,40.76,5.0,5.14,2025-09-19 12:04:12.228786
Group 3,41.0,4.87,4.69,2025-09-19 12:04:13.228806
Group 3,41.04,4.84,4.68,2025-09-19 12:04:14.227507
Group 3,41.13,4.78,4.54,2025-09-19 12:04:15.180069
Group 3,41.17,4.77,4.51,2025-09-19 12:04:16.18274
Group 3,41.14,4.76,4.6,2025-09-19 12:04:17.181348
Group 3,41.16,4.75,4.57,2025-09-19 12:04:18.181122
Group 3,41.23,4.73,4.42,2025-09-19 12:04:19.181511
Group 3,41.18,4.74,4.52,2025-09-19 12:04:20.179601
Group 3,41.18,4.76,4.5,2025-09-19 12:04:21.182856
Group 3,41.14,4.78,4.6,2025-09-19 12:04:22.228792
Group 3,41.25,4.71,4.38,2025-09-19 12:04:23.228862
Group 3,41.37,4.67,4.09,2025-09-19 12:04:24.228768
Group 3,41.4,4.66,4.06,2025-09-19 12:04:25.179439
Group 3,41.47,4.6,3.87,2025-09-19 12:04:26.182074
Group 3,41.51,4.6,3.83,2025-09-19 12:04:27.181258
Group 3,41.5,4.6,3.84,2025-09-19 12:04:28.180683
Group 3,41.82,4.38,3.08,2025-09-19 12:04:29.183612
Group 3,41.71,4.45,3.37,2025-09-19 12:04:30.18157
Group 3,41.63,4.52,3.6,2025-09-19 12:04:31.181465
Group 3,41.5,4.57,3.84,2025-09-19 12:04:32.180318
Group 3,41.49,4.58,3.83,2025-09-19 12:04:33.17961
Group 3,41.53,4.56,3.77,2025-09-19 12:04:34.179653
Group 3,41.58,4.54,3.68,2025-09-19 12:04:35.182028
Group 3,41.61,4.53,3.58,2025-09-19 12:04:36.182334
Group 3,41.59,4.52,3.63,2025-09-19 12:04:37.181491
Group 3,41.56,4.54,3.68,2025-09-19 12:04:38.228899
Group 3,41.5,4.59,3.84,2025-09-19 12:04:39.182425
Group 3,41.49,4.6,3.84,2025-09-19 12:04:40.182241
Group 3,41.61,4.53,3.46,2025-09-19 12:04:41.180024
Group 3,41.68,4.51,3.27,2025-09-19 12:04:42.180052
Group 3,41.6,4.56,3.5,2025-09-19 12:04:43.229256
Group 3,41.47,4.62,3.83,2025-09-19 12:04:44.182397
Group 3,41.42,4.66,3.96,2025-09-19 12:04:45.182305
Group 3,41.42,4.69,4.02,2025-09-19 12:04:46.179631
Group 3,41.35,4.76,4.17,2025-09-19 12:04:47.18228
Group 3,41.51,4.64,2.49,2025-09-19 12:04:49.180068
Group 3,41.28,4.73,3.22,2025-09-19 12:04:50.182362
Group 3,40.89,4.69,4.05,2025-09-19 12:04:51.181533
Group 3,41.02,4.68,4.02,2025-09-19 12:04:52.184641
Group 3,41.2,4.61,3.96,2025-09-19 12:04:53.184183
Group 3,41.2,4.68,4.35,2025-09-19 12:04:54.184145
Group 3,41.43,4.77,4.1,2025-09-19 12:04:55.183686
Group 3,41.22,4.87,4.33,2025-09-19 12:04:56.179508
Group 3,41.23,5.26,4.85,2025-09-19 12:04:57.181576
Group 3,41.56,5.72,2.87,2025-09-19 12:04:59.181351
Group 3,41.7,6.47,3.16,2025-09-19 12:05:00.181342
Group 3,41.79,7.14,3.18,2025-09-19 12:05:01.18153
Group 3,41.87,8.3,1.5,2025-09-19 12:05:03.184413
Group 3,41.83,9.95,2.52,2025-09-19 12:05:04.192826
Group 3,41.7,11.24,0.78,2025-09-19 12:05:05.183786
Group 3,41.43,12.08,-0.46,2025-09-19 12:05:06.239015
Group 3,41.34,12.58,-1.3,2025-09-19 12:05:07.180001
Group 3,41.15,13.27,-2.27,2025-09-19 12:05:08.18004
Group 3,41.06,13.52,-2.77,2025-09-19 12:05:09.179987
Group 3,41.15,13.83,-0.86,2025-09-19 12:05:10.182104
Group 3,41.28,13.91,-1.65,2025-09-19 12:05:11.181457
Group 3,41.3,13.94,-2.13,2025-09-19 12:05:12.181427
Group 3,41.11,13.95,-2.75,2025-09-19 12:05:13.181346
Group 3,40.89,14.1,-3.48,2025-09-19 12:05:14.181383
Group 3,41.04,14.17,-1.72,2025-09-19 12:05:15.181338
Group 3,41.0,14.33,-0.18,2025-09-19 12:05:16.180802
Group 3,40.97,14.51,1.04,2025-09-19 12:05:17.179655
Group 3,41.07,14.49,1.81,2025-09-19 12:05:18.179628
Group 3,41.04,14.57,2.45,2025-09-19 12:05:19.181707
Group 3,41.05,14.61,2.93,2025-09-19 12:05:20.179746
Group 3,41.14,14.63,3.24,2025-09-19 12:05:21.185633
Group 3,41.23,14.74,1.31,2025-09-19 12:05:22.179996
Group 3,41.3,14.84,-0.17,2025-09-19 12:05:23.181406
Group 3,41.49,14.68,-0.99,2025-09-19 12:05:24.181753
Group 3,41.43,14.67,-1.76,2025-09-19 12:05:25.181627
Group 3,41.41,14.71,-2.44,2025-09-19 12:05:26.179619
Group 3,41.38,14.68,-2.88,2025-09-19 12:05:27.180335
Group 3,41.32,14.68,-3.23,2025-09-19 12:05:28.18014
Group 3,41.14,14.62,-3.5,2025-09-19 12:05:30.179591
Group 3,40.99,14.53,-3.67,2025-09-19 12:05:31.184055
Group 3,40.89,14.46,-1.71,2025-09-19 12:05:32.185348
Group 3,40.83,14.62,-0.07,2025-09-19 12:05:33.181153
Group 3,40.71,14.93,1.47,2025-09-19 12:05:34.17999
Group 3,40.79,14.8,2.14,2025-09-19 12:05:35.187652
Group 3,40.82,14.78,2.77,2025-09-19 12:05:36.179589
Group 3,40.87,14.76,3.22,2025-09-19 12:05:38.18015
Group 3,40.77,14.71,3.71,2025-09-19 12:05:39.179819
Group 3,40.85,14.68,3.87,2025-09-19 12:05:40.181409
Group 3,40.65,14.69,4.37,2025-09-19 12:05:42.18455
Group 3,40.76,14.67,4.4,2025-09-19 12:05:43.181257
Group 3,40.69,14.94,4.79,2025-09-19 12:05:44.180922
Group 3,41.15,14.63,4.28,2025-09-19 12:05:45.184641
Group 3,41.32,14.77,1.77,2025-09-19 12:05:46.182593
Group 3,41.56,14.11,0.64,2025-09-19 12:05:47.182126
Group 3,41.56,13.64,-0.44,2025-09-19 12:05:48.181595
Group 3,41.54,13.21,-1.41,2025-09-19 12:05:49.228904
Group 3,41.54,12.05,-0.25,2025-09-19 12:06:03.181169
Group 3,41.41,12.69,-1.27,2025-09-19 12:06:04.181582
Group 3,41.25,13.18,-1.8,2025-09-19 12:06:05.188155
Group 3,40.9,13.42,-2.3,2025-09-19 12:06:06.181058
