name,x,y,time
Group 3,35.46,10.43,2025-08-01 12:59:01.128524
Group 3,33.37,10.39,2025-08-01 12:59:34.306455
Group 3,32.41,11.67,2025-08-01 12:59:36.306583
Group 3,32.13,12.58,2025-08-01 12:59:37.306381
Group 3,31.8,13.58,2025-08-01 12:59:38.30627
Group 3,31.63,14.59,2025-08-01 12:59:39.306203
Group 3,31.59,15.59,2025-08-01 12:59:40.307468
Group 3,31.63,16.22,2025-08-01 12:59:41.306131
Group 3,31.89,16.92,2025-08-01 12:59:42.306135
Group 3,32.23,17.6,2025-08-01 12:59:43.306578
Group 3,32.52,17.88,2025-08-01 12:59:44.307868
Group 3,32.68,18.19,2025-08-01 12:59:45.306404
Group 3,32.96,18.32,2025-08-01 12:59:46.306456
Group 3,33.13,18.45,2025-08-01 12:59:47.310173
Group 3,33.9,18.83,2025-08-01 12:59:53.306385
Group 3,33.78,18.86,2025-08-01 12:59:54.307469
Group 3,33.79,18.88,2025-08-01 12:59:55.313782
Group 3,33.77,18.9,2025-08-01 12:59:56.305743
Group 3,33.77,18.92,2025-08-01 12:59:57.30623
Group 3,33.78,18.87,2025-08-01 12:59:58.306001
Group 3,37.4,19.1,2025-08-01 13:00:03.30615
Group 3,38.69,18.58,2025-08-01 13:00:04.306959
Group 3,39.37,18.1,2025-08-01 13:00:05.307074
Group 3,40.04,17.5,2025-08-01 13:00:06.306194
Group 3,40.41,17.08,2025-08-01 13:00:07.306921
Group 3,41.19,15.6,2025-08-01 13:00:12.307041
Group 3,41.2,15.77,2025-08-01 13:00:13.308436
Group 3,41.18,15.63,2025-08-01 13:00:14.308193
Group 3,41.21,15.84,2025-08-01 13:00:15.306098
Group 3,41.15,16.02,2025-08-01 13:00:20.306207
Group 3,41.15,15.84,2025-08-01 13:00:21.306023
Group 3,41.14,15.93,2025-08-01 13:00:22.308755
Group 3,41.13,16.06,2025-08-01 13:00:23.305967
Group 3,41.13,16.26,2025-08-01 13:00:24.305737
Group 3,42.0,16.35,2025-08-01 13:00:25.30666
Group 3,41.39,16.08,2025-08-01 13:00:30.306492
Group 3,41.33,16.13,2025-08-01 13:00:31.306013
Group 3,41.28,16.15,2025-08-01 13:00:32.309875
Group 3,41.23,16.18,2025-08-01 13:00:33.306362
Group 3,41.17,16.12,2025-08-01 13:00:34.306193
Group 3,41.15,16.19,2025-08-01 13:00:35.306564
Group 3,41.17,16.12,2025-08-01 13:00:36.307074
Group 3,41.15,16.09,2025-08-01 13:00:37.306046
Group 3,41.15,16.06,2025-08-01 13:00:38.306286
Group 3,41.16,15.86,2025-08-01 13:00:39.305769
Group 3,41.17,15.71,2025-08-01 13:00:40.310275
Group 3,41.16,15.87,2025-08-01 13:00:41.306838
Group 3,41.15,15.9,2025-08-01 13:00:42.306134
Group 3,41.14,16.0,2025-08-01 13:00:43.311525
Group 3,41.14,15.96,2025-08-01 13:00:44.305984
Group 3,41.16,15.94,2025-08-01 13:00:45.306078
Group 3,41.16,15.93,2025-08-01 13:00:46.30621
Group 3,41.18,15.95,2025-08-01 13:00:47.306159
Group 3,41.17,15.96,2025-08-01 13:00:48.310009
Group 3,41.14,15.96,2025-08-01 13:00:49.305941
Group 3,41.16,15.8,2025-08-01 13:00:50.306451
Group 3,41.17,15.67,2025-08-01 13:00:51.310555
Group 3,41.22,15.58,2025-08-01 13:00:52.306303
Group 3,41.27,15.89,2025-08-01 13:00:53.306218
Group 3,41.34,15.88,2025-08-01 13:00:54.306462
Group 3,41.35,15.95,2025-08-01 13:00:55.307774
Group 3,41.36,15.98,2025-08-01 13:00:56.307003
Group 3,41.35,15.97,2025-08-01 13:00:57.305922
Group 3,41.31,15.8,2025-08-01 13:00:58.305816
Group 3,41.29,15.71,2025-08-01 13:00:59.306257
Group 3,41.25,15.64,2025-08-01 13:01:00.305856
Group 3,41.23,15.55,2025-08-01 13:01:01.306231
Group 3,41.21,15.51,2025-08-01 13:01:02.305796
Group 3,41.24,15.47,2025-08-01 13:01:03.306055
Group 3,41.21,15.44,2025-08-01 13:01:04.309069
Group 3,41.2,15.44,2025-08-01 13:01:05.306886
Group 3,41.19,15.43,2025-08-01 13:01:06.30786
Group 3,41.19,15.39,2025-08-01 13:01:07.306066
Group 3,41.18,15.39,2025-08-01 13:01:08.306526
Group 3,41.19,15.37,2025-08-01 13:01:09.306757
Group 3,41.2,15.36,2025-08-01 13:01:10.306159
Group 3,41.19,15.36,2025-08-01 13:01:11.306298
Group 3,41.19,15.38,2025-08-01 13:01:12.305935
Group 3,41.21,15.38,2025-08-01 13:01:13.3069
Group 3,41.2,15.36,2025-08-01 13:01:14.309487
Group 3,41.19,15.37,2025-08-01 13:01:15.305724
Group 3,41.18,15.35,2025-08-01 13:01:16.305934
Group 3,41.15,15.37,2025-08-01 13:01:17.305979
Group 3,41.17,15.35,2025-08-01 13:01:18.306167
Group 3,41.21,15.35,2025-08-01 13:01:19.306376
Group 3,41.19,15.35,2025-08-01 13:01:20.306236
Group 3,41.19,15.36,2025-08-01 13:01:21.306193
Group 3,41.19,15.35,2025-08-01 13:01:22.311211
Group 3,41.16,15.39,2025-08-01 13:01:23.306838
Group 3,41.19,15.41,2025-08-01 13:01:24.306341
Group 3,41.21,15.37,2025-08-01 13:01:25.307172
Group 3,41.23,15.34,2025-08-01 13:01:26.306191
Group 3,41.21,15.32,2025-08-01 13:01:27.306369
Group 3,41.2,15.35,2025-08-01 13:01:28.306394
Group 3,41.18,15.38,2025-08-01 13:01:29.305943
Group 3,41.2,15.36,2025-08-01 13:01:30.305983
Group 3,41.14,15.34,2025-08-01 13:01:31.306027
