name,x,y,time
group 4,40.81,13.39,2025-07-11 12:50:27.658505
group 4,40.72,13.38,2025-07-11 12:50:28.050778
group 4,40.79,13.39,2025-07-11 12:50:29.050369
group 4,40.53,13.5,2025-07-11 12:50:30.049872
group 4,40.71,13.52,2025-07-11 12:50:31.049878
group 4,40.68,13.53,2025-07-11 12:50:32.050769
group 4,40.84,13.58,2025-07-11 12:50:37.050355
group 4,40.75,13.53,2025-07-11 12:50:38.050503
group 4,40.8,13.53,2025-07-11 12:50:39.050091
group 4,40.81,13.5,2025-07-11 12:50:40.049687
group 4,40.85,13.45,2025-07-11 12:50:41.050406
group 4,40.56,13.32,2025-07-11 12:50:42.054825
group 4,40.42,13.29,2025-07-11 12:50:43.05104
group 4,40.36,13.23,2025-07-11 12:50:44.049838
group 4,40.33,13.24,2025-07-11 12:50:45.050221
group 4,40.29,13.25,2025-07-11 12:50:46.050384
group 4,40.39,13.24,2025-07-11 12:50:47.051053
group 4,40.4,13.26,2025-07-11 12:50:48.049948
group 4,40.23,13.2,2025-07-11 12:50:49.050126
group 4,40.14,13.14,2025-07-11 12:50:50.049954
group 4,40.16,13.2,2025-07-11 12:50:51.050867
group 4,40.17,13.23,2025-07-11 12:50:53.049924
group 4,40.19,13.26,2025-07-11 12:50:54.050028
group 4,40.12,13.23,2025-07-11 12:50:56.05036
group 4,40.09,13.22,2025-07-11 12:50:57.050309
group 4,40.05,13.2,2025-07-11 12:50:58.051339
group 4,40.09,13.24,2025-07-11 12:50:59.051884
group 4,40.26,13.27,2025-07-11 12:51:00.053268
group 4,40.28,13.25,2025-07-11 12:51:01.052318
group 4,40.3,13.26,2025-07-11 12:51:02.0546
group 4,40.16,13.19,2025-07-11 12:51:07.050206
group 4,40.2,13.23,2025-07-11 12:51:08.049829
group 4,40.3,13.26,2025-07-11 12:51:09.049716
group 4,40.2,13.24,2025-07-11 12:51:10.050044
group 4,40.19,13.27,2025-07-11 12:51:11.050262
group 4,40.18,13.29,2025-07-11 12:51:12.050019
group 4,40.16,13.28,2025-07-11 12:51:13.050519
group 4,40.21,13.3,2025-07-11 12:51:14.049943
group 4,40.25,13.31,2025-07-11 12:51:16.050196
group 4,40.27,13.32,2025-07-11 12:51:17.049721
group 4,40.27,13.33,2025-07-11 12:51:19.05043
group 4,40.27,13.34,2025-07-11 12:51:20.049596
group 4,40.27,13.34,2025-07-11 12:51:21.049676
group 4,40.28,13.35,2025-07-11 12:51:22.050013
group 4,40.34,13.37,2025-07-11 12:51:23.049701
group 4,40.13,13.25,2025-07-11 12:51:24.049812
group 4,40.01,13.14,2025-07-11 12:51:25.050192
group 4,39.85,13.06,2025-07-11 12:51:26.050057
group 4,39.84,13.0,2025-07-11 12:51:27.049666
group 4,39.84,12.95,2025-07-11 12:51:28.050017
group 4,39.98,12.93,2025-07-11 12:51:29.050095
group 4,39.9,12.9,2025-07-11 12:51:30.053184
group 4,40.05,13.04,2025-07-11 12:51:31.052674
group 4,40.1,13.08,2025-07-11 12:51:32.050094
group 4,40.3,13.16,2025-07-11 12:51:33.053884
group 4,40.31,13.24,2025-07-11 12:51:34.052129
group 4,40.33,13.27,2025-07-11 12:51:35.050213
group 4,40.3,13.3,2025-07-11 12:51:36.050252
group 4,40.3,13.32,2025-07-11 12:51:37.049903
group 4,40.19,13.3,2025-07-11 12:51:43.050033
group 4,40.24,13.33,2025-07-11 12:51:44.050936
group 4,40.43,13.34,2025-07-11 12:51:49.04995
group 4,40.47,13.34,2025-07-11 12:51:50.04972
group 4,40.39,13.33,2025-07-11 12:51:52.049582
group 4,40.34,13.33,2025-07-11 12:51:53.049864
group 4,40.11,13.19,2025-07-11 12:51:54.050037
group 4,40.07,13.18,2025-07-11 12:51:55.051214
group 4,40.07,13.19,2025-07-11 12:51:56.054508
group 4,40.23,13.29,2025-07-11 12:51:57.049976
group 4,40.38,13.36,2025-07-11 12:51:58.050256
group 4,40.4,13.48,2025-07-11 12:51:59.050045
group 4,40.36,13.46,2025-07-11 12:52:00.050452
group 4,40.46,13.46,2025-07-11 12:52:01.050125
group 4,40.43,13.42,2025-07-11 12:52:02.051
group 4,40.42,13.4,2025-07-11 12:52:03.050043
group 4,40.42,13.36,2025-07-11 12:52:08.050169
group 4,40.38,13.37,2025-07-11 12:52:09.049656
group 4,40.35,13.35,2025-07-11 12:52:10.04994
group 4,40.36,13.35,2025-07-11 12:52:11.051204
group 4,40.6,13.35,2025-07-11 12:52:12.050483
group 4,40.48,13.34,2025-07-11 12:52:13.051296
group 4,40.37,13.32,2025-07-11 12:52:14.049965
group 4,40.39,13.3,2025-07-11 12:52:16.050031
group 4,40.36,13.42,2025-07-11 12:52:17.050517
group 4,40.35,13.4,2025-07-11 12:52:18.05009
group 4,40.31,13.35,2025-07-11 12:52:19.050403
group 4,40.32,13.37,2025-07-11 12:52:20.052295
group 4,40.31,13.36,2025-07-11 12:52:21.050247
group 4,40.34,13.38,2025-07-11 12:52:22.050391
group 4,40.35,13.37,2025-07-11 12:52:23.050019
group 4,40.55,13.39,2025-07-11 12:52:24.05014
group 4,40.87,13.82,2025-07-11 12:52:25.049756
group 4,41.14,14.59,2025-07-11 12:52:26.04966
group 4,41.11,15.33,2025-07-11 12:52:27.049802
group 4,41.24,15.87,2025-07-11 12:52:28.050004
group 4,41.36,16.26,2025-07-11 12:52:29.053575
group 4,41.42,16.6,2025-07-11 12:52:30.049589
group 4,41.48,16.84,2025-07-11 12:52:31.049874
