group,station,dwell_time_seconds,dwell_time_minutes
W1 G1,1,1081.999424,18.033323733333336
W1 G1,2,880.993641,14.683227350000001
W1 G1,3,821.9887719999999,13.699812866666665
W1 G1,4,1206.975907,20.116265116666668
W1 G1,5,866.999656,14.449994266666666
W1 G2,1,1235.995334,20.599922233333334
W1 G2,2,1369.503773,22.82506288333333
W1 G2,3,708.9160060000002,11.815266766666669
W1 G2,4,939.4877570000001,15.658129283333334
W1 G2,5,1123.589858,18.726497633333334
W1 G3,1,1707.9893020000002,28.46648836666667
W1 G3,2,1076.885175,17.94808625
W1 G3,3,1051.0031999999999,17.51672
W1 G3,4,1407.89045,23.464840833333334
W1 G3,5,1405.009583,23.416826383333333
W1 G4,1,418.999965,6.98333275
W1 G4,2,0.0,0.0
W1 G4,3,92.014631,1.5335771833333331
W1 G4,4,407.99107100000003,6.799851183333334
W1 G4,5,358.008202,5.966803366666666
W1 G5,1,13.000191000000001,0.21666985000000002
W1 G5,2,1006.9601520000001,16.7826692
W1 G5,3,3048.1732839999995,50.80288806666666
W1 G5,4,766.122888,12.7687148
W1 G5,5,841.0082030000001,14.016803383333334
W1 G6,1,720.498495,12.00830825
W1 G6,2,1188.9999429999998,19.816665716666662
W1 G6,3,2622.1663180000005,43.702771966666674
W1 G6,4,1152.0826240000001,19.20137706666667
W1 G6,5,1074.017209,17.900286816666668
