group,station,dwell_time_seconds,dwell_time_minutes
W2 G1,1,863.015805,14.38359675
W2 G1,2,1028.987048,17.149784133333334
W2 G1,3,1014.3858909999999,16.906431516666665
W2 G1,4,870.9998780000001,14.516664633333335
W2 G2,1,0.0,0.0
W2 G2,2,366.49441,6.108240166666667
W2 G2,3,753.978775,12.566312916666668
W2 G2,4,393.942283,6.565704716666667
W2 G3,1,702.0049250000001,11.700082083333335
W2 G3,2,984.003118,16.400051966666666
W2 G3,3,1125.999397,18.76665661666667
W2 G3,4,1182.008427,19.70014045
W2 G4,1,1000.004418,16.6667403
W2 G4,2,889.004363,14.816739383333333
W2 G4,3,1210.992743,20.183212383333334
W2 G4,4,2.9999249999999997,0.049998749999999995
W2 G5,1,884.9630199999999,14.749383666666665
W2 G5,2,713.9891670000001,11.89981945
W2 G5,3,1329.2801220000001,22.154668700000002
W2 G5,4,692.993516,11.549891933333333
W2 G6,1,388.045437,6.46742395
W2 G6,2,659.000942,10.983349033333333
W2 G6,3,260.506464,4.3417744
W2 G6,4,1008.955737,16.81592895
