group,from_station,to_station,transition_time_seconds,transition_time_minutes
w3_g3,4.0,1.0,3077.000491,51.28334151666666
w3_g3,1.0,3.0,13.000305,0.21667175000000002
w3_g3,3.0,2.0,60.002112,1.0000352
w3_g3,2.0,4.0,23.001412,0.38335686666666663
w3_g3,4.0,4.0,255.200415,4.25334025
w3_g3,4.0,2.0,26.999875,0.44999791666666666
w3_g3,2.0,4.0,29.9911,0.49985166666666664
w3_g3,4.0,2.0,10.999454,0.18332423333333334
w3_g3,2.0,4.0,8.999552,0.14999253333333332
w3_g3,4.0,1.0,252.200475,4.20334125
w3_g3,1.0,2.0,9.999791,0.16666318333333333
